Id,Measure,ValueAttribute,Value,StringValue,WijkenEnBuurten
32,M000297,None,7966331.0,,NL00
33,M001642,None,290.0,,NL00
38,1014800_1,None,57.0,,NL00
39,1014850_2,None,43.0,,NL00
144,M000297,None,11207.0,,GM1680
145,M001642,None,271.0,,GM1680
150,1014800_1,None,75.0,,GM1680
151,1014850_2,None,25.0,,GM1680
258,M000297,None,1628.0,,WK168000
259,M001642,None,270.0,,WK168000
264,1014800_1,None,75.0,,WK168000
265,1014850_2,None,25.0,,WK168000
372,M000297,None,1565.0,,BU16800000
373,M001642,None,262.0,,BU16800000
378,1014800_1,None,74.0,,BU16800000
379,1014850_2,None,26.0,,BU16800000
488,M000297,None,63.0,,BU16800009
489,M001642,None,482.0,,BU16800009
494,1014800_1,None,97.0,,BU16800009
495,1014850_2,None,3.0,,BU16800009
579,M000297,None,585.0,,WK168001
580,M001642,None,287.0,,WK168001
585,1014800_1,None,83.0,,WK168001
586,1014850_2,None,17.0,,WK168001
693,M000297,None,534.0,,BU16800100
694,M001642,None,275.0,,BU16800100
699,1014800_1,None,82.0,,BU16800100
700,1014850_2,None,18.0,,BU16800100
809,M000297,None,51.0,,BU16800109
810,M001642,None,409.0,,BU16800109
815,1014800_1,None,92.0,,BU16800109
816,1014850_2,None,8.0,,BU16800109
901,M000297,None,169.0,,WK168002
902,M001642,None,335.0,,WK168002
907,1014800_1,None,82.0,,WK168002
908,1014850_2,None,18.0,,WK168002
1009,M000297,None,145.0,,BU16800200
1010,M001642,None,322.0,,BU16800200
1015,1014800_1,None,81.0,,BU16800200
1016,1014850_2,None,19.0,,BU16800200
1119,M000297,None,24.0,,BU16800209
1120,M001642,None,419.0,,BU16800209
1125,1014800_1,None,88.0,,BU16800209
1126,1014850_2,None,12.0,,BU16800209
1198,M000297,None,174.0,,WK168003
1199,M001642,None,369.0,,WK168003
1204,1014800_1,None,92.0,,WK168003
1205,1014850_2,None,8.0,,WK168003
1312,M000297,None,169.0,,BU16800300
1313,M001642,None,364.0,,BU16800300
1318,1014800_1,None,92.0,,BU16800300
1319,1014850_2,None,8.0,,BU16800300
1425,M000297,None,5.0,,BU16800309
1477,M000297,None,110.0,,WK168004
1478,M001642,None,366.0,,WK168004
1483,1014800_1,None,88.0,,WK168004
1484,1014850_2,None,12.0,,WK168004
1583,M000297,None,100.0,,BU16800400
1584,M001642,None,356.0,,BU16800400
1589,1014800_1,None,89.0,,BU16800400
1590,1014850_2,None,11.0,,BU16800400
1678,M000297,None,10.0,,BU16800409
1730,M000297,None,262.0,,WK168005
1731,M001642,None,399.0,,WK168005
1736,1014800_1,None,85.0,,WK168005
1737,1014850_2,None,15.0,,WK168005
1838,M000297,None,231.0,,BU16800500
1839,M001642,None,404.0,,BU16800500
1844,1014800_1,None,85.0,,BU16800500
1845,1014850_2,None,15.0,,BU16800500
1948,M000297,None,31.0,,BU16800509
1949,M001642,None,365.0,,BU16800509
1954,1014800_1,None,84.0,,BU16800509
1955,1014850_2,None,16.0,,BU16800509
2025,M000297,None,186.0,,WK168006
2026,M001642,None,279.0,,WK168006
2031,1014800_1,None,90.0,,WK168006
2032,1014850_2,None,10.0,,WK168006
2133,M000297,None,180.0,,BU16800600
2134,M001642,None,277.0,,BU16800600
2139,1014800_1,None,90.0,,BU16800600
2140,1014850_2,None,10.0,,BU16800600
2240,M000297,None,6.0,,BU16800609
2292,M000297,None,64.0,,WK168007
2293,M001642,None,253.0,,WK168007
2298,1014800_1,None,92.0,,WK168007
2299,1014850_2,None,8.0,,WK168007
2377,M000297,None,64.0,,BU16800700
2378,M001642,None,253.0,,BU16800700
2383,1014800_1,None,92.0,,BU16800700
2384,1014850_2,None,8.0,,BU16800700
2462,M000297,None,0.0,,BU16800709
2505,M000297,None,43.0,,WK168008
2506,M001642,None,304.0,,WK168008
2511,1014800_1,None,98.0,,WK168008
2512,1014850_2,None,2.0,,WK168008
2583,M000297,None,40.0,,BU16800800
2584,M001642,None,303.0,,BU16800800
2589,1014800_1,None,98.0,,BU16800800
2590,1014850_2,None,2.0,,BU16800800
2660,M000297,None,3.0,,BU16800809
2712,M000297,None,48.0,,WK168009
2713,M001642,None,288.0,,WK168009
2718,1014800_1,None,98.0,,WK168009
2719,1014850_2,None,2.0,,WK168009
2795,M000297,None,47.0,,BU16800900
2796,M001642,None,284.0,,BU16800900
2801,1014800_1,None,98.0,,BU16800900
2802,1014850_2,None,2.0,,BU16800900
2874,M000297,None,1.0,,BU16800909
2921,M000297,None,188.0,,WK168011
2922,M001642,None,204.0,,WK168011
2927,1014800_1,None,75.0,,WK168011
2928,1014850_2,None,25.0,,WK168011
3029,M000297,None,188.0,,BU16801100
3030,M001642,None,204.0,,BU16801100
3035,1014800_1,None,75.0,,BU16801100
3036,1014850_2,None,25.0,,BU16801100
3135,M000297,None,0.0,,BU16801109
3182,M000297,None,106.0,,WK168012
3183,M001642,None,188.0,,WK168012
3188,1014800_1,None,89.0,,WK168012
3189,1014850_2,None,11.0,,WK168012
3280,M000297,None,106.0,,BU16801200
3281,M001642,None,188.0,,BU16801200
3286,1014800_1,None,89.0,,BU16801200
3287,1014850_2,None,11.0,,BU16801200
3376,M000297,None,0.0,,BU16801209
3423,M000297,None,60.0,,WK168013
3424,M001642,None,303.0,,WK168013
3429,1014800_1,None,92.0,,WK168013
3430,1014850_2,None,8.0,,WK168013
3516,M000297,None,46.0,,BU16801300
3517,M001642,None,284.0,,BU16801300
3522,1014800_1,None,91.0,,BU16801300
3523,1014850_2,None,9.0,,BU16801300
3602,M000297,None,14.0,,BU16801309
3660,M000297,None,778.0,,WK168014
3661,M001642,None,272.0,,WK168014
3666,1014800_1,None,74.0,,WK168014
3667,1014850_2,None,26.0,,WK168014
3774,M000297,None,681.0,,BU16801400
3775,M001642,None,260.0,,BU16801400
3780,1014800_1,None,72.0,,BU16801400
3781,1014850_2,None,28.0,,BU16801400
3890,M000297,None,58.0,,BU16801401
3891,M001642,None,367.0,,BU16801401
3896,1014800_1,None,91.0,,BU16801401
3897,1014850_2,None,9.0,,BU16801401
3975,M000297,None,39.0,,BU16801409
3976,M001642,None,334.0,,BU16801409
3981,1014800_1,None,69.0,,BU16801409
3982,1014850_2,None,31.0,,BU16801409
4079,M000297,None,801.0,,WK168015
4080,M001642,None,190.0,,WK168015
4085,1014800_1,None,61.0,,WK168015
4086,1014850_2,None,39.0,,WK168015
4193,M000297,None,784.0,,BU16801500
4194,M001642,None,188.0,,BU16801500
4199,1014800_1,None,61.0,,BU16801500
4200,1014850_2,None,39.0,,BU16801500
4309,M000297,None,17.0,,BU16801501
4368,M000297,None,0.0,,BU16801509
4411,M000297,None,294.0,,WK168016
4412,M001642,None,223.0,,WK168016
4417,1014800_1,None,82.0,,WK168016
4418,1014850_2,None,18.0,,WK168016
4525,M000297,None,280.0,,BU16801600
4526,M001642,None,214.0,,BU16801600
4531,1014800_1,None,81.0,,BU16801600
4532,1014850_2,None,19.0,,BU16801600
4641,M000297,None,12.0,,BU16801601
4698,M000297,None,2.0,,BU16801609
4745,M000297,None,2340.0,,WK168017
4746,M001642,None,258.0,,WK168017
4751,1014800_1,None,68.0,,WK168017
4752,1014850_2,None,32.0,,WK168017
4859,M000297,None,2272.0,,BU16801700
4860,M001642,None,252.0,,BU16801700
4865,1014800_1,None,67.0,,BU16801700
4866,1014850_2,None,33.0,,BU16801700
4975,M000297,None,68.0,,BU16801709
4976,M001642,None,446.0,,BU16801709
4981,1014800_1,None,97.0,,BU16801709
4982,1014850_2,None,3.0,,BU16801709
5066,M000297,None,522.0,,WK168018
5067,M001642,None,243.0,,WK168018
5072,1014800_1,None,81.0,,WK168018
5073,1014850_2,None,19.0,,WK168018
5180,M000297,None,290.0,,BU16801800
5181,M001642,None,206.0,,BU16801800
5186,1014800_1,None,72.0,,BU16801800
5187,1014850_2,None,28.0,,BU16801800
5296,M000297,None,43.0,,BU16801801
5297,M001642,None,282.0,,BU16801801
5302,1014800_1,None,91.0,,BU16801801
5303,1014850_2,None,9.0,,BU16801801
5374,M000297,None,101.0,,BU16801802
5375,M001642,None,263.0,,BU16801802
5380,1014800_1,None,89.0,,BU16801802
5381,1014850_2,None,11.0,,BU16801802
5478,M000297,None,88.0,,BU16801809
5479,M001642,None,321.0,,BU16801809
5484,1014800_1,None,98.0,,BU16801809
5485,1014850_2,None,2.0,,BU16801809
5574,M000297,None,2196.0,,WK168019
5575,M001642,None,277.0,,WK168019
5580,1014800_1,None,72.0,,WK168019
5581,1014850_2,None,28.0,,WK168019
5688,M000297,None,1854.0,,BU16801900
5689,M001642,None,258.0,,BU16801900
5694,1014800_1,None,70.0,,BU16801900
5695,1014850_2,None,30.0,,BU16801900
5804,M000297,None,56.0,,BU16801901
5805,M001642,None,427.0,,BU16801901
5810,1014800_1,None,96.0,,BU16801901
5811,1014850_2,None,4.0,,BU16801901
5897,M000297,None,26.0,,BU16801902
5898,M001642,None,399.0,,BU16801902
5903,1014800_1,None,100.0,,BU16801902
5904,1014850_2,None,0.0,,BU16801902
5973,M000297,None,32.0,,BU16801903
5974,M001642,None,447.0,,BU16801903
5979,1014800_1,None,91.0,,BU16801903
5980,1014850_2,None,9.0,,BU16801903
6050,M000297,None,172.0,,BU16801908
6051,M001642,None,337.0,,BU16801908
6056,1014800_1,None,72.0,,BU16801908
6057,1014850_2,None,28.0,,BU16801908
6166,M000297,None,56.0,,BU16801909
6167,M001642,None,404.0,,BU16801909
6172,1014800_1,None,89.0,,BU16801909
6173,1014850_2,None,11.0,,BU16801909
6259,M000297,None,462.0,,WK168020
6260,M001642,None,338.0,,WK168020
6265,1014800_1,None,82.0,,WK168020
6266,1014850_2,None,18.0,,WK168020
6369,M000297,None,272.0,,BU16802000
6370,M001642,None,301.0,,BU16802000
6375,1014800_1,None,85.0,,BU16802000
6376,1014850_2,None,15.0,,BU16802000
6481,M000297,None,84.0,,BU16802001
6482,M001642,None,316.0,,BU16802001
6487,1014800_1,None,82.0,,BU16802001
6488,1014850_2,None,18.0,,BU16802001
6578,M000297,None,23.0,,BU16802008
6579,M001642,None,487.0,,BU16802008
6584,1014800_1,None,70.0,,BU16802008
6585,1014850_2,None,30.0,,BU16802008
6657,M000297,None,83.0,,BU16802009
6658,M001642,None,441.0,,BU16802009
6663,1014800_1,None,78.0,,BU16802009
6664,1014850_2,None,22.0,,BU16802009
6753,M000297,None,191.0,,WK168021
6754,M001642,None,376.0,,WK168021
6759,1014800_1,None,90.0,,WK168021
6760,1014850_2,None,10.0,,WK168021
6861,M000297,None,109.0,,BU16802100
6862,M001642,None,328.0,,BU16802100
6867,1014800_1,None,86.0,,BU16802100
6868,1014850_2,None,14.0,,BU16802100
6969,M000297,None,35.0,,BU16802101
6970,M001642,None,390.0,,BU16802101
6975,1014800_1,None,97.0,,BU16802101
6976,1014850_2,None,3.0,,BU16802101
7046,M000297,None,47.0,,BU16802109
7047,M001642,None,478.0,,BU16802109
7052,1014800_1,None,94.0,,BU16802109
7053,1014850_2,None,6.0,,BU16802109
7136,M000297,None,13284.0,,GM0358
7137,M001642,None,383.0,,GM0358
7142,1014800_1,None,65.0,,GM0358
7143,1014850_2,None,35.0,,GM0358
7248,M000297,None,5859.0,,WK035800
7249,M001642,None,361.0,,WK035800
7254,1014800_1,None,59.0,,WK035800
7255,1014850_2,None,41.0,,WK035800
7360,M000297,None,1453.0,,BU03580000
7361,M001642,None,372.0,,BU03580000
7366,1014800_1,None,59.0,,BU03580000
7367,1014850_2,None,41.0,,BU03580000
7474,M000297,None,2984.0,,BU03580001
7475,M001642,None,340.0,,BU03580001
7480,1014800_1,None,59.0,,BU03580001
7481,1014850_2,None,41.0,,BU03580001
7588,M000297,None,1125.0,,BU03580004
7589,M001642,None,334.0,,BU03580004
7594,1014800_1,None,56.0,,BU03580004
7595,1014850_2,None,44.0,,BU03580004
7702,M000297,None,297.0,,BU03580005
7703,M001642,None,626.0,,BU03580005
7708,1014800_1,None,72.0,,BU03580005
7709,1014850_2,None,28.0,,BU03580005
7816,M000297,None,3813.0,,WK035801
7817,M001642,None,354.0,,WK035801
7822,1014800_1,None,66.0,,WK035801
7823,1014850_2,None,34.0,,WK035801
7928,M000297,None,3813.0,,BU03580100
7929,M001642,None,354.0,,BU03580100
7934,1014800_1,None,66.0,,BU03580100
7935,1014850_2,None,34.0,,BU03580100
8042,M000297,None,3612.0,,WK035802
8043,M001642,None,449.0,,WK035802
8048,1014800_1,None,73.0,,WK035802
8049,1014850_2,None,27.0,,WK035802
8154,M000297,None,363.0,,BU03580200
8155,M001642,None,427.0,,BU03580200
8160,1014800_1,None,76.0,,BU03580200
8161,1014850_2,None,24.0,,BU03580200
8268,M000297,None,321.0,,BU03580201
8269,M001642,None,448.0,,BU03580201
8274,1014800_1,None,83.0,,BU03580201
8275,1014850_2,None,17.0,,BU03580201
8382,M000297,None,2747.0,,BU03580205
8383,M001642,None,449.0,,BU03580205
8388,1014800_1,None,70.0,,BU03580205
8389,1014850_2,None,30.0,,BU03580205
8496,M000297,None,181.0,,BU03580206
8497,M001642,None,501.0,,BU03580206
8502,1014800_1,None,85.0,,BU03580206
8503,1014850_2,None,15.0,,BU03580206
8603,M000297,None,12028.0,,GM0197
8604,M001642,None,238.0,,GM0197
8609,1014800_1,None,71.0,,GM0197
8610,1014850_2,None,28.0,,GM0197
8717,M000297,None,1472.0,,WK019701
8718,M001642,None,328.0,,WK019701
8723,1014800_1,None,86.0,,WK019701
8724,1014850_2,None,14.0,,WK019701
8831,M000297,None,42.0,,BU01970101
8832,M001642,None,303.0,,BU01970101
8837,1014800_1,None,98.0,,BU01970101
8838,1014850_2,None,2.0,,BU01970101
8914,M000297,None,170.0,,BU01970102
8915,M001642,None,350.0,,BU01970102
8920,1014800_1,None,84.0,,BU01970102
8921,1014850_2,None,16.0,,BU01970102
9026,M000297,None,136.0,,BU01970103
9027,M001642,None,335.0,,BU01970103
9032,1014800_1,None,85.0,,BU01970103
9033,1014850_2,None,15.0,,BU01970103
9136,M000297,None,173.0,,BU01970104
9137,M001642,None,343.0,,BU01970104
9142,1014800_1,None,83.0,,BU01970104
9143,1014850_2,None,17.0,,BU01970104
9248,M000297,None,60.0,,BU01970105
9249,M001642,None,244.0,,BU01970105
9254,1014800_1,None,92.0,,BU01970105
9255,1014850_2,None,8.0,,BU01970105
9335,M000297,None,64.0,,BU01970106
9336,M001642,None,287.0,,BU01970106
9341,1014800_1,None,92.0,,BU01970106
9342,1014850_2,None,8.0,,BU01970106
9430,M000297,None,93.0,,BU01970107
9431,M001642,None,307.0,,BU01970107
9436,1014800_1,None,84.0,,BU01970107
9437,1014850_2,None,16.0,,BU01970107
9532,M000297,None,241.0,,BU01970108
9533,M001642,None,327.0,,BU01970108
9538,1014800_1,None,82.0,,BU01970108
9539,1014850_2,None,18.0,,BU01970108
9644,M000297,None,35.0,,BU01970109
9645,M001642,None,344.0,,BU01970109
9650,1014800_1,None,83.0,,BU01970109
9651,1014850_2,None,17.0,,BU01970109
9736,M000297,None,242.0,,BU01970110
9737,M001642,None,342.0,,BU01970110
9742,1014800_1,None,87.0,,BU01970110
9743,1014850_2,None,13.0,,BU01970110
9848,M000297,None,188.0,,BU01970111
9849,M001642,None,334.0,,BU01970111
9854,1014800_1,None,86.0,,BU01970111
9855,1014850_2,None,14.0,,BU01970111
9960,M000297,None,28.0,,BU01970112
9961,M001642,None,297.0,,BU01970112
9966,1014800_1,None,93.0,,BU01970112
9967,1014850_2,None,7.0,,BU01970112
10041,M000297,None,860.0,,WK019702
10042,M001642,None,235.0,,WK019702
10047,1014800_1,None,78.0,,WK019702
10048,1014850_2,None,22.0,,WK019702
10155,M000297,None,78.0,,BU01970201
10156,M001642,None,366.0,,BU01970201
10161,1014800_1,None,85.0,,BU01970201
10162,1014850_2,None,15.0,,BU01970201
10253,M000297,None,85.0,,BU01970202
10254,M001642,None,285.0,,BU01970202
10259,1014800_1,None,89.0,,BU01970202
10260,1014850_2,None,11.0,,BU01970202
10353,M000297,None,28.0,,BU01970203
10354,M001642,None,354.0,,BU01970203
10359,1014800_1,None,82.0,,BU01970203
10360,1014850_2,None,18.0,,BU01970203
10432,M000297,None,669.0,,BU01970204
10433,M001642,None,208.0,,BU01970204
10438,1014800_1,None,76.0,,BU01970204
10439,1014850_2,None,24.0,,BU01970204
10548,M000297,None,5907.0,,WK019703
