Id,Measure,ValueAttribute,Value,StringValue,WijkenEnBuurten
3653,1014800_1,None,69.0,,BU16801400
3654,1014850_2,None,31.0,,BU16801400
3754,M000297,None,57.0,,BU16801401
3755,M001642,None,308.0,,BU16801401
3760,1014800_1,None,88.0,,BU16801401
3761,1014850_2,None,12.0,,BU16801401
3842,M000297,None,36.0,,BU16801409
3847,1014800_1,None,75.0,,BU16801409
3848,1014850_2,None,22.0,,BU16801409
3938,M000297,None,778.0,,WK168015
3939,M001642,None,158.0,,WK168015
3944,1014800_1,None,60.0,,WK168015
3945,1014850_2,None,40.0,,WK168015
4043,M000297,None,761.0,,BU16801500
4044,M001642,None,157.0,,BU16801500
4049,1014800_1,None,59.0,,BU16801500
4050,1014850_2,None,40.0,,BU16801500
4150,M000297,None,17.0,,BU16801501
4208,M000297,None,0.0,,BU16801509
4255,M000297,None,292.0,,WK168016
4256,M001642,None,181.0,,WK168016
4261,1014800_1,None,80.0,,WK168016
4262,1014850_2,None,20.0,,WK168016
4358,M000297,None,278.0,,BU16801600
4359,M001642,None,179.0,,BU16801600
4364,1014800_1,None,79.0,,BU16801600
4365,1014850_2,None,21.0,,BU16801600
4463,M000297,None,12.0,,BU16801601
4521,M000297,None,2.0,,BU16801609
4570,M000297,None,2325.0,,WK168017
4571,M001642,None,211.0,,WK168017
4576,1014800_1,None,64.0,,WK168017
4577,1014850_2,None,36.0,,WK168017
4675,M000297,None,2256.0,,BU16801700
4676,M001642,None,207.0,,BU16801700
4681,1014800_1,None,63.0,,BU16801700
4682,1014850_2,None,37.0,,BU16801700
4782,M000297,None,69.0,,BU16801709
4783,M001642,None,346.0,,BU16801709
4788,1014800_1,None,97.0,,BU16801709
4789,1014850_2,None,3.0,,BU16801709
4875,M000297,None,521.0,,WK168018
4876,M001642,None,196.0,,WK168018
4881,1014800_1,None,78.0,,WK168018
4882,1014850_2,None,22.0,,WK168018
4980,M000297,None,291.0,,BU16801800
4981,M001642,None,170.0,,BU16801800
4986,1014800_1,None,68.0,,BU16801800
4987,1014850_2,None,31.0,,BU16801800
5087,M000297,None,42.0,,BU16801801
5092,1014800_1,None,88.0,,BU16801801
5093,1014850_2,None,10.0,,BU16801801
5165,M000297,None,101.0,,BU16801802
5166,M001642,None,199.0,,BU16801802
5171,1014800_1,None,88.0,,BU16801802
5172,1014850_2,None,12.0,,BU16801802
5260,M000297,None,87.0,,BU16801809
5261,M001642,None,261.0,,BU16801809
5266,1014800_1,None,92.0,,BU16801809
5267,1014850_2,None,8.0,,BU16801809
5355,M000297,None,2138.0,,WK168019
5356,M001642,None,234.0,,WK168019
5361,1014800_1,None,67.0,,WK168019
5362,1014850_2,None,29.0,,WK168019
5460,M000297,None,1851.0,,BU16801900
5461,M001642,None,220.0,,BU16801900
5466,1014800_1,None,66.0,,BU16801900
5467,1014850_2,None,29.0,,BU16801900
5567,M000297,None,57.0,,BU16801901
5568,M001642,None,366.0,,BU16801901
5573,1014800_1,None,93.0,,BU16801901
5574,1014850_2,None,5.0,,BU16801901
5662,M000297,None,26.0,,BU16801902
5667,1014800_1,None,92.0,,BU16801902
5668,1014850_2,None,8.0,,BU16801902
5742,M000297,None,32.0,,BU16801903
5747,1014800_1,None,78.0,,BU16801903
5748,1014850_2,None,22.0,,BU16801903
5821,M000297,None,116.0,,BU16801908
5822,M001642,None,296.0,,BU16801908
5827,1014800_1,None,52.0,,BU16801908
5828,1014850_2,None,48.0,,BU16801908
5917,M000297,None,56.0,,BU16801909
5922,1014800_1,None,89.0,,BU16801909
5923,1014850_2,None,11.0,,BU16801909
6009,M000297,None,578.0,,WK168020
6010,M001642,None,268.0,,WK168020
6015,1014800_1,None,71.0,,WK168020
6016,1014850_2,None,28.0,,WK168020
6112,M000297,None,275.0,,BU16802000
6113,M001642,None,250.0,,BU16802000
6118,1014800_1,None,82.0,,BU16802000
6119,1014850_2,None,18.0,,BU16802000
6215,M000297,None,84.0,,BU16802001
6216,M001642,None,260.0,,BU16802001
6221,1014800_1,None,79.0,,BU16802001
6222,1014850_2,None,20.0,,BU16802001
6312,M000297,None,23.0,,BU16802008
6317,1014800_1,None,61.0,,BU16802008
6318,1014850_2,None,39.0,,BU16802008
6390,M000297,None,196.0,,BU16802009
6391,M001642,None,350.0,,BU16802009
6396,1014800_1,None,55.0,,BU16802009
6397,1014850_2,None,45.0,,BU16802009
6487,M000297,None,190.0,,WK168021
6488,M001642,None,304.0,,WK168021
6493,1014800_1,None,87.0,,WK168021
6494,1014850_2,None,13.0,,WK168021
6586,M000297,None,108.0,,BU16802100
6587,M001642,None,271.0,,BU16802100
6592,1014800_1,None,84.0,,BU16802100
6593,1014850_2,None,16.0,,BU16802100
6680,M000297,None,35.0,,BU16802101
6685,1014800_1,None,91.0,,BU16802101
6686,1014850_2,None,9.0,,BU16802101
