Id,Measure,ValueAttribute,Value,StringValue,WijkenEnBuurten
32,M000297,None,7587964.0,,NL00
39,1014850_2,None,43.0,,NL00
135,M000297,None,5850.0,,GM0003
142,1014850_2,None,52.0,,GM0003
238,M000297,None,5850.0,,WK000300
245,1014850_2,None,52.0,,WK000300
341,M000297,None,1459.0,,BU00030000
348,1014850_2,None,60.0,,BU00030000
446,M000297,None,1328.0,,BU00030001
453,1014850_2,None,32.0,,BU00030001
551,M000297,None,2833.0,,BU00030002
558,1014850_2,None,59.0,,BU00030002
656,M000297,None,123.0,,BU00030007
663,1014850_2,None,6.0,,BU00030007
753,M000297,None,42.0,,BU00030008
759,1014850_2,None,10.0,,BU00030008
837,M000297,None,65.0,,BU00030009
844,1014850_2,None,22.0,,BU00030009
924,M000297,None,4529.0,,GM0005
931,1014850_2,None,32.0,,GM0005
1027,M000297,None,4529.0,,WK000500
1034,1014850_2,None,32.0,,WK000500
1130,M000297,None,3450.0,,BU00050000
1137,1014850_2,None,35.0,,BU00050000
1235,M000297,None,256.0,,BU00050001
1242,1014850_2,None,17.0,,BU00050001
1338,M000297,None,387.0,,BU00050002
1345,1014850_2,None,25.0,,BU00050002
1443,M000297,None,49.0,,BU00050003
1449,1014850_2,None,18.0,,BU00050003
1521,M000297,None,243.0,,BU00050004
1528,1014850_2,None,23.0,,BU00050004
1624,M000297,None,40.0,,BU00050005
1630,1014850_2,None,15.0,,BU00050005
1707,M000297,None,58.0,,BU00050006
1714,1014850_2,None,7.0,,BU00050006
1793,M000297,None,46.0,,BU00050007
1799,1014850_2,None,7.0,,BU00050007
1873,M000297,None,4128.0,,GM0007
1880,1014850_2,None,27.0,,GM0007
1976,M000297,None,1893.0,,WK000700
1983,1014850_2,None,27.0,,WK000700
2079,M000297,None,1017.0,,BU00070000
2086,1014850_2,None,32.0,,BU00070000
2184,M000297,None,142.0,,BU00070001
2191,1014850_2,None,15.0,,BU00070001
2279,M000297,None,210.0,,BU00070002
2286,1014850_2,None,31.0,,BU00070002
2382,M000297,None,206.0,,BU00070004
2389,1014850_2,None,34.0,,BU00070004
2485,M000297,None,52.0,,BU00070005
2491,1014850_2,None,19.0,,BU00070005
2565,M000297,None,23.0,,BU00070006
2571,1014850_2,None,4.0,,BU00070006
2637,M000297,None,165.0,,BU00070007
2644,1014850_2,None,4.0,,BU00070007
2734,M000297,None,51.0,,BU00070008
2740,1014850_2,None,14.0,,BU00070008
2810,M000297,None,27.0,,BU00070009
2816,1014850_2,None,22.0,,BU00070009
2890,M000297,None,452.0,,WK000701
2897,1014850_2,None,17.0,,WK000701
2987,M000297,None,264.0,,BU00070100
2994,1014850_2,None,22.0,,BU00070100
3086,M000297,None,62.0,,BU00070101
3093,1014850_2,None,18.0,,BU00070101
3170,M000297,None,49.0,,BU00070108
3176,1014850_2,None,0.0,,BU00070108
3247,M000297,None,77.0,,BU00070109
3254,1014850_2,None,12.0,,BU00070109
3333,M000297,None,1783.0,,WK000702
3340,1014850_2,None,30.0,,WK000702
3436,M000297,None,987.0,,BU00070200
3443,1014850_2,None,39.0,,BU00070200
3541,M000297,None,172.0,,BU00070201
3548,1014850_2,None,7.0,,BU00070201
3640,M000297,None,283.0,,BU00070202
3647,1014850_2,None,37.0,,BU00070202
3743,M000297,None,103.0,,BU00070203
3750,1014850_2,None,6.0,,BU00070203
3829,M000297,None,58.0,,BU00070204
3836,1014850_2,None,12.0,,BU00070204
3913,M000297,None,24.0,,BU00070206
3919,1014850_2,None,25.0,,BU00070206
3989,M000297,None,57.0,,BU00070207
3995,1014850_2,None,9.0,,BU00070207
4079,M000297,None,57.0,,BU00070208
4086,1014850_2,None,16.0,,BU00070208
4163,M000297,None,42.0,,BU00070209
4169,1014850_2,None,17.0,,BU00070209
4241,M000297,None,3033.0,,GM0009
4248,1014850_2,None,23.0,,GM0009
4344,M000297,None,2432.0,,WK000900
4351,1014850_2,None,23.0,,WK000900
4447,M000297,None,1798.0,,BU00090000
4454,1014850_2,None,26.0,,BU00090000
4552,M000297,None,185.0,,BU00090001
4559,1014850_2,None,18.0,,BU00090001
4655,M000297,None,179.0,,BU00090002
4662,1014850_2,None,18.0,,BU00090002
4756,M000297,None,58.0,,BU00090003
4763,1014850_2,None,12.0,,BU00090003
4842,M000297,None,30.0,,BU00090005
4848,1014850_2,None,3.0,,BU00090005
4918,M000297,None,182.0,,BU00090009
4925,1014850_2,None,13.0,,BU00090009
5017,M000297,None,601.0,,WK000901
5024,1014850_2,None,22.0,,WK000901
5118,M000297,None,307.0,,BU00090100
5125,1014850_2,None,25.0,,BU00090100
5221,M000297,None,41.0,,BU00090101
5227,1014850_2,None,10.0,,BU00090101
5304,M000297,None,141.0,,BU00090102
5311,1014850_2,None,26.0,,BU00090102
5405,M000297,None,25.0,,BU00090104
5411,1014850_2,None,4.0,,BU00090104
5481,M000297,None,21.0,,BU00090106
5487,1014850_2,None,5.0,,BU00090106
5557,M000297,None,66.0,,BU00090109
5563,1014850_2,None,18.0,,BU00090109
5646,M000297,None,12232.0,,GM0010
5653,1014850_2,None,38.0,,GM0010
5749,M000297,None,8485.0,,WK001000
5756,1014850_2,None,45.0,,WK001000
5852,M000297,None,642.0,,BU00100000
5859,1014850_2,None,64.0,,BU00100000
5957,M000297,None,1111.0,,BU00100001
5964,1014850_2,None,31.0,,BU00100001
6062,M000297,None,2991.0,,BU00100002
6069,1014850_2,None,63.0,,BU00100002
6167,M000297,None,1904.0,,BU00100003
6174,1014850_2,None,30.0,,BU00100003
6272,M000297,None,634.0,,BU00100004
6279,1014850_2,None,14.0,,BU00100004
6375,M000297,None,1203.0,,BU00100005
6382,1014850_2,None,41.0,,BU00100005
6480,M000297,None,306.0,,WK001001
6487,1014850_2,None,10.0,,WK001001
6577,M000297,None,163.0,,BU00100103
6584,1014850_2,None,6.0,,BU00100103
