Id,Measure,ValueAttribute,Value,StringValue,WijkenEnBuurten
33,M000297,None,8204049.0,,NL00
37,M001642,None,378.0,,NL00
46,1014850_2,None,43.0,,NL00
144,M000297,None,11500.0,,GM1680
148,M001642,None,347.0,,GM1680
157,1014850_2,None,25.0,,GM1680
254,M000297,None,1663.0,,WK168000
258,M001642,None,344.0,,WK168000
267,1014850_2,None,25.0,,WK168000
363,M000297,None,1600.0,,BU16800000
367,M001642,None,335.0,,BU16800000
376,1014850_2,None,26.0,,BU16800000
474,M000297,None,63.0,,BU16800009
478,M001642,None,592.0,,BU16800009
487,1014850_2,None,5.0,,BU16800009
573,M000297,None,602.0,,WK168001
577,M001642,None,369.0,,WK168001
586,1014850_2,None,16.0,,WK168001
680,M000297,None,550.0,,BU16800100
684,M001642,None,358.0,,BU16800100
693,1014850_2,None,17.0,,BU16800100
789,M000297,None,52.0,,BU16800109
793,M001642,None,490.0,,BU16800109
802,1014850_2,None,4.0,,BU16800109
888,M000297,None,169.0,,WK168002
892,M001642,None,428.0,,WK168002
901,1014850_2,None,17.0,,WK168002
995,M000297,None,145.0,,BU16800200
999,M001642,None,413.0,,BU16800200
1008,1014850_2,None,19.0,,BU16800200
1104,M000297,None,24.0,,BU16800209
1108,M001642,None,517.0,,BU16800209
1117,1014850_2,None,8.0,,BU16800209
1189,M000297,None,180.0,,WK168003
1193,M001642,None,466.0,,WK168003
1202,1014850_2,None,7.0,,WK168003
1296,M000297,None,176.0,,BU16800300
1300,M001642,None,462.0,,BU16800300
1309,1014850_2,None,6.0,,BU16800300
1405,M000297,None,4.0,,BU16800309
1469,M000297,None,112.0,,WK168004
1473,M001642,None,471.0,,WK168004
1482,1014850_2,None,11.0,,WK168004
1574,M000297,None,102.0,,BU16800400
1578,M001642,None,468.0,,BU16800400
1587,1014850_2,None,9.0,,BU16800400
1678,M000297,None,10.0,,BU16800409
1742,M000297,None,262.0,,WK168005
1746,M001642,None,514.0,,WK168005
1755,1014850_2,None,15.0,,WK168005
1849,M000297,None,230.0,,BU16800500
1853,M001642,None,521.0,,BU16800500
1862,1014850_2,None,13.0,,BU16800500
