Id,Measure,ValueAttribute,Value,StringValue,WijkenEnBuurten
33,M000297,None,8125229.0,,NL00
34,M001642,None,368.0,,NL00
39,1014800_1,None,57.0,,NL00
40,1014850_2,None,43.0,,NL00
157,M000297,None,11428.0,,GM1680
158,M001642,None,342.0,,GM1680
163,1014800_1,None,75.0,,GM1680
164,1014850_2,None,25.0,,GM1680
280,M000297,None,1647.0,,WK168000
281,M001642,None,342.0,,WK168000
286,1014800_1,None,75.0,,WK168000
287,1014850_2,None,25.0,,WK168000
403,M000297,None,1584.0,,BU16800000
404,M001642,None,333.0,,BU16800000
409,1014800_1,None,74.0,,BU16800000
410,1014850_2,None,26.0,,BU16800000
528,M000297,None,63.0,,BU16800009
529,M001642,None,579.0,,BU16800009
534,1014800_1,None,97.0,,BU16800009
535,1014850_2,None,3.0,,BU16800009
633,M000297,None,598.0,,WK168001
634,M001642,None,363.0,,WK168001
639,1014800_1,None,84.0,,WK168001
640,1014850_2,None,16.0,,WK168001
756,M000297,None,547.0,,BU16800100
757,M001642,None,351.0,,BU16800100
762,1014800_1,None,83.0,,BU16800100
763,1014850_2,None,17.0,,BU16800100
881,M000297,None,51.0,,BU16800109
882,M001642,None,486.0,,BU16800109
887,1014800_1,None,92.0,,BU16800109
888,1014850_2,None,8.0,,BU16800109
986,M000297,None,169.0,,WK168002
987,M001642,None,420.0,,WK168002
992,1014800_1,None,81.0,,WK168002
993,1014850_2,None,19.0,,WK168002
1103,M000297,None,145.0,,BU16800200
1104,M001642,None,405.0,,BU16800200
1109,1014800_1,None,80.0,,BU16800200
1110,1014850_2,None,20.0,,BU16800200
1222,M000297,None,24.0,,BU16800209
1223,M001642,None,513.0,,BU16800209
1228,1014800_1,None,88.0,,BU16800209
1229,1014850_2,None,13.0,,BU16800209
1315,M000297,None,180.0,,WK168003
1316,M001642,None,460.0,,WK168003
1321,1014800_1,None,92.0,,WK168003
1322,1014850_2,None,8.0,,WK168003
1438,M000297,None,176.0,,BU16800300
1439,M001642,None,456.0,,BU16800300
1444,1014800_1,None,93.0,,BU16800300
1445,1014850_2,None,7.0,,BU16800300
1563,M000297,None,4.0,,BU16800309
1632,M000297,None,112.0,,WK168004
1633,M001642,None,455.0,,WK168004
1638,1014800_1,None,88.0,,WK168004
1639,1014850_2,None,12.0,,WK168004
1749,M000297,None,102.0,,BU16800400
1750,M001642,None,452.0,,BU16800400
1755,1014800_1,None,90.0,,BU16800400
1756,1014850_2,None,10.0,,BU16800400
1858,M000297,None,10.0,,BU16800409
1927,M000297,None,262.0,,WK168005
1928,M001642,None,507.0,,WK168005
1933,1014800_1,None,85.0,,WK168005
1934,1014850_2,None,15.0,,WK168005
2044,M000297,None,231.0,,BU16800500
2045,M001642,None,514.0,,BU16800500
2050,1014800_1,None,87.0,,BU16800500
2051,1014850_2,None,13.0,,BU16800500
2163,M000297,None,31.0,,BU16800509
2164,M001642,None,459.0,,BU16800509
2169,1014800_1,None,77.0,,BU16800509
2170,1014850_2,None,23.0,,BU16800509
2254,M000297,None,198.0,,WK168006
2255,M001642,None,359.0,,WK168006
2260,1014800_1,None,92.0,,WK168006
2261,1014850_2,None,8.0,,WK168006
2375,M000297,None,192.0,,BU16800600
2376,M001642,None,358.0,,BU16800600
2381,1014800_1,None,92.0,,BU16800600
2382,1014850_2,None,8.0,,BU16800600
2498,M000297,None,6.0,,BU16800609
2567,M000297,None,64.0,,WK168007
2568,M001642,None,319.0,,WK168007
2573,1014800_1,None,92.0,,WK168007
2574,1014850_2,None,8.0,,WK168007
2666,M000297,None,64.0,,BU16800700
2667,M001642,None,319.0,,BU16800700
2672,1014800_1,None,92.0,,BU16800700
2673,1014850_2,None,8.0,,BU16800700
2765,M000297,None,0.0,,BU16800709
2832,M000297,None,43.0,,WK168008
2833,M001642,None,375.0,,WK168008
2838,1014800_1,None,98.0,,WK168008
2839,1014850_2,None,2.0,,WK168008
2922,M000297,None,40.0,,BU16800800
2923,M001642,None,373.0,,BU16800800
2928,1014800_1,None,98.0,,BU16800800
2929,1014850_2,None,3.0,,BU16800800
3013,M000297,None,3.0,,BU16800809
3082,M000297,None,48.0,,WK168009
3083,M001642,None,359.0,,WK168009
3088,1014800_1,None,96.0,,WK168009
3089,1014850_2,None,4.0,,WK168009
3175,M000297,None,47.0,,BU16800900
3176,M001642,None,357.0,,BU16800900
3181,1014800_1,None,96.0,,BU16800900
3182,1014850_2,None,4.0,,BU16800900
3266,M000297,None,1.0,,BU16800909
3335,M000297,None,188.0,,WK168011
3336,M001642,None,268.0,,WK168011
3341,1014800_1,None,76.0,,WK168011
3342,1014850_2,None,24.0,,WK168011
3454,M000297,None,187.0,,BU16801100
3455,M001642,None,269.0,,BU16801100
3460,1014800_1,None,75.0,,BU16801100
3461,1014850_2,None,25.0,,BU16801100
3574,M000297,None,1.0,,BU16801109
3643,M000297,None,106.0,,WK168012
3644,M001642,None,239.0,,WK168012
3649,1014800_1,None,88.0,,WK168012
3650,1014850_2,None,12.0,,WK168012
3760,M000297,None,106.0,,BU16801200
3761,M001642,None,239.0,,BU16801200
3766,1014800_1,None,88.0,,BU16801200
3767,1014850_2,None,12.0,,BU16801200
3878,M000297,None,0.0,,BU16801209
3947,M000297,None,60.0,,WK168013
3948,M001642,None,385.0,,WK168013
3953,1014800_1,None,92.0,,WK168013
3954,1014850_2,None,8.0,,WK168013
4054,M000297,None,46.0,,BU16801300
4055,M001642,None,371.0,,BU16801300
4060,1014800_1,None,91.0,,BU16801300
4061,1014850_2,None,9.0,,BU16801300
4157,M000297,None,14.0,,BU16801309
4232,M000297,None,785.0,,WK168014
4233,M001642,None,339.0,,WK168014
4238,1014800_1,None,75.0,,WK168014
4239,1014850_2,None,25.0,,WK168014
4355,M000297,None,689.0,,BU16801400
4356,M001642,None,326.0,,BU16801400
4361,1014800_1,None,73.0,,BU16801400
4362,1014850_2,None,27.0,,BU16801400
4480,M000297,None,58.0,,BU16801401
4481,M001642,None,453.0,,BU16801401
4486,1014800_1,None,93.0,,BU16801401
4487,1014850_2,None,7.0,,BU16801401
4585,M000297,None,38.0,,BU16801409
4586,M001642,None,398.0,,BU16801409
4591,1014800_1,None,79.0,,BU16801409
4592,1014850_2,None,21.0,,BU16801409
4700,M000297,None,828.0,,WK168015
4701,M001642,None,244.0,,WK168015
4706,1014800_1,None,61.0,,WK168015
4707,1014850_2,None,39.0,,WK168015
4823,M000297,None,811.0,,BU16801500
4824,M001642,None,242.0,,BU16801500
4829,1014800_1,None,61.0,,BU16801500
4830,1014850_2,None,39.0,,BU16801500
4948,M000297,None,17.0,,BU16801501
5021,M000297,None,0.0,,BU16801509
5086,M000297,None,296.0,,WK168016
5087,M001642,None,284.0,,WK168016
5092,1014800_1,None,82.0,,WK168016
5093,1014850_2,None,18.0,,WK168016
5207,M000297,None,281.0,,BU16801600
5208,M001642,None,275.0,,BU16801600
5213,1014800_1,None,83.0,,BU16801600
5214,1014850_2,None,17.0,,BU16801600
5330,M000297,None,12.0,,BU16801601
5405,M000297,None,3.0,,BU16801609
5474,M000297,None,2364.0,,WK168017
5475,M001642,None,328.0,,WK168017
5480,1014800_1,None,67.0,,WK168017
5481,1014850_2,None,33.0,,WK168017
5597,M000297,None,2295.0,,BU16801700
5598,M001642,None,321.0,,BU16801700
5603,1014800_1,None,67.0,,BU16801700
5604,1014850_2,None,33.0,,BU16801700
5722,M000297,None,69.0,,BU16801709
5723,M001642,None,537.0,,BU16801709
5728,1014800_1,None,97.0,,BU16801709
5729,1014850_2,None,3.0,,BU16801709
5827,M000297,None,531.0,,WK168018
5828,M001642,None,302.0,,WK168018
5833,1014800_1,None,82.0,,WK168018
5834,1014850_2,None,18.0,,WK168018
5950,M000297,None,295.0,,BU16801800
5951,M001642,None,260.0,,BU16801800
5956,1014800_1,None,73.0,,BU16801800
5957,1014850_2,None,27.0,,BU16801800
6075,M000297,None,45.0,,BU16801801
6076,M001642,None,356.0,,BU16801801
6081,1014800_1,None,91.0,,BU16801801
6082,1014850_2,None,9.0,,BU16801801
6167,M000297,None,102.0,,BU16801802
6168,M001642,None,321.0,,BU16801802
6173,1014800_1,None,90.0,,BU16801802
6174,1014850_2,None,10.0,,BU16801802
6284,M000297,None,89.0,,BU16801809
6285,M001642,None,391.0,,BU16801809
6290,1014800_1,None,97.0,,BU16801809
6291,1014850_2,None,3.0,,BU16801809
6393,M000297,None,2285.0,,WK168019
6394,M001642,None,348.0,,WK168019
6399,1014800_1,None,73.0,,WK168019
6400,1014850_2,None,27.0,,WK168019
6516,M000297,None,1866.0,,BU16801900
6517,M001642,None,323.0,,BU16801900
6522,1014800_1,None,70.0,,BU16801900
6523,1014850_2,None,29.0,,BU16801900
6641,M000297,None,56.0,,BU16801901
6642,M001642,None,565.0,,BU16801901
6647,1014800_1,None,96.0,,BU16801901
6648,1014850_2,None,4.0,,BU16801901
6746,M000297,None,26.0,,BU16801902
6747,M001642,None,485.0,,BU16801902
6752,1014800_1,None,100.0,,BU16801902
6753,1014850_2,None,0.0,,BU16801902
6839,M000297,None,32.0,,BU16801903
6840,M001642,None,560.0,,BU16801903
6845,1014800_1,None,88.0,,BU16801903
6846,1014850_2,None,13.0,,BU16801903
6938,M000297,None,249.0,,BU16801908
6939,M001642,None,410.0,,BU16801908
6944,1014800_1,None,76.0,,BU16801908
6945,1014850_2,None,24.0,,BU16801908
7063,M000297,None,56.0,,BU16801909
7064,M001642,None,486.0,,BU16801909
7069,1014800_1,None,91.0,,BU16801909
7070,1014850_2,None,9.0,,BU16801909
7168,M000297,None,472.0,,WK168020
7169,M001642,None,419.0,,WK168020
7174,1014800_1,None,83.0,,WK168020
7175,1014850_2,None,17.0,,WK168020
7287,M000297,None,275.0,,BU16802000
7288,M001642,None,390.0,,BU16802000
7293,1014800_1,None,85.0,,BU16802000
7294,1014850_2,None,15.0,,BU16802000
7408,M000297,None,84.0,,BU16802001
7409,M001642,None,395.0,,BU16802001
7414,1014800_1,None,81.0,,BU16802001
7415,1014850_2,None,19.0,,BU16802001
7517,M000297,None,24.0,,BU16802008
7518,M001642,None,546.0,,BU16802008
7523,1014800_1,None,79.0,,BU16802008
7524,1014850_2,None,21.0,,BU16802008
7624,M000297,None,89.0,,BU16802009
7625,M001642,None,496.0,,BU16802009
7630,1014800_1,None,79.0,,BU16802009
7631,1014850_2,None,21.0,,BU16802009
7731,M000297,None,192.0,,WK168021
7732,M001642,None,468.0,,WK168021
7737,1014800_1,None,91.0,,WK168021
7738,1014850_2,None,9.0,,WK168021
7848,M000297,None,110.0,,BU16802100
7849,M001642,None,414.0,,BU16802100
7854,1014800_1,None,87.0,,BU16802100
7855,1014850_2,None,12.0,,BU16802100
7965,M000297,None,35.0,,BU16802101
7966,M001642,None,508.0,,BU16802101
7971,1014800_1,None,94.0,,BU16802101
7972,1014850_2,None,6.0,,BU16802101
8064,M000297,None,47.0,,BU16802109
8065,M001642,None,567.0,,BU16802109
8070,1014800_1,None,96.0,,BU16802109
8071,1014850_2,None,4.0,,BU16802109
8169,M000297,None,13460.0,,GM0358
8170,M001642,None,494.0,,GM0358
8175,1014800_1,None,65.0,,GM0358
8176,1014850_2,None,35.0,,GM0358
8292,M000297,None,5951.0,,WK035800
8293,M001642,None,465.0,,WK035800
8298,1014800_1,None,59.0,,WK035800
8299,1014850_2,None,41.0,,WK035800
8415,M000297,None,1471.0,,BU03580000
8416,M001642,None,467.0,,BU03580000
8421,1014800_1,None,57.0,,BU03580000
8422,1014850_2,None,43.0,,BU03580000
8540,M000297,None,3037.0,,BU03580001
8541,M001642,None,446.0,,BU03580001
8546,1014800_1,None,60.0,,BU03580001
8547,1014850_2,None,40.0,,BU03580001
8665,M000297,None,1150.0,,BU03580004
8666,M001642,None,429.0,,BU03580004
8671,1014800_1,None,57.0,,BU03580004
8672,1014850_2,None,43.0,,BU03580004
8790,M000297,None,293.0,,BU03580005
8791,M001642,None,799.0,,BU03580005
8796,1014800_1,None,73.0,,BU03580005
8797,1014850_2,None,27.0,,BU03580005
8915,M000297,None,3818.0,,WK035801
8916,M001642,None,453.0,,WK035801
8921,1014800_1,None,66.0,,WK035801
8922,1014850_2,None,34.0,,WK035801
9038,M000297,None,3818.0,,BU03580100
9039,M001642,None,453.0,,BU03580100
9044,1014800_1,None,66.0,,BU03580100
9045,1014850_2,None,34.0,,BU03580100
9163,M000297,None,3691.0,,WK035802
9164,M001642,None,583.0,,WK035802
9169,1014800_1,None,72.0,,WK035802
9170,1014850_2,None,28.0,,WK035802
9286,M000297,None,363.0,,BU03580200
9287,M001642,None,581.0,,BU03580200
9292,1014800_1,None,77.0,,BU03580200
9293,1014850_2,None,23.0,,BU03580200
9411,M000297,None,323.0,,BU03580201
9412,M001642,None,606.0,,BU03580201
9417,1014800_1,None,84.0,,BU03580201
9418,1014850_2,None,16.0,,BU03580201
9536,M000297,None,2822.0,,BU03580205
9537,M001642,None,576.0,,BU03580205
9542,1014800_1,None,69.0,,BU03580205
9543,1014850_2,None,31.0,,BU03580205
9661,M000297,None,183.0,,BU03580206
9662,M001642,None,649.0,,BU03580206
9667,1014800_1,None,85.0,,BU03580206
9668,1014850_2,None,15.0,,BU03580206
9782,M000297,None,12164.0,,GM0197
9783,M001642,None,312.0,,GM0197
9788,1014800_1,None,72.0,,GM0197
9789,1014850_2,None,28.0,,GM0197
9905,M000297,None,1499.0,,WK019701
9906,M001642,None,420.0,,WK019701
9911,1014800_1,None,86.0,,WK019701
9912,1014850_2,None,14.0,,WK019701
10028,M000297,None,43.0,,BU01970101
10029,M001642,None,419.0,,BU01970101
10034,1014800_1,None,95.0,,BU01970101
10035,1014850_2,None,5.0,,BU01970101
10125,M000297,None,170.0,,BU01970102
10126,M001642,None,449.0,,BU01970102
10131,1014800_1,None,84.0,,BU01970102
10132,1014850_2,None,16.0,,BU01970102
10245,M000297,None,136.0,,BU01970103
10246,M001642,None,424.0,,BU01970103
10251,1014800_1,None,85.0,,BU01970103
10252,1014850_2,None,15.0,,BU01970103
10366,M000297,None,175.0,,BU01970104
10367,M001642,None,444.0,,BU01970104
10372,1014800_1,None,85.0,,BU01970104
10373,1014850_2,None,15.0,,BU01970104
10487,M000297,None,62.0,,BU01970105
10488,M001642,None,324.0,,BU01970105
10493,1014800_1,None,89.0,,BU01970105
10494,1014850_2,None,11.0,,BU01970105
10588,M000297,None,69.0,,BU01970106
10589,M001642,None,384.0,,BU01970106
10594,1014800_1,None,90.0,,BU01970106
10595,1014850_2,None,10.0,,BU01970106
10697,M000297,None,93.0,,BU01970107
10698,M001642,None,403.0,,BU01970107
10703,1014800_1,None,85.0,,BU01970107
10704,1014850_2,None,15.0,,BU01970107
10814,M000297,None,242.0,,BU01970108
10815,M001642,None,415.0,,BU01970108
10820,1014800_1,None,82.0,,BU01970108
10821,1014850_2,None,17.0,,BU01970108
10935,M000297,None,36.0,,BU01970109
10936,M001642,None,408.0,,BU01970109
10941,1014800_1,None,83.0,,BU01970109
10942,1014850_2,None,17.0,,BU01970109
11033,M000297,None,242.0,,BU01970110
11034,M001642,None,438.0,,BU01970110
11039,1014800_1,None,86.0,,BU01970110
11040,1014850_2,None,14.0,,BU01970110
11154,M000297,None,191.0,,BU01970111
11155,M001642,None,419.0,,BU01970111
11160,1014800_1,None,87.0,,BU01970111
11161,1014850_2,None,13.0,,BU01970111
11275,M000297,None,40.0,,BU01970112
11276,M001642,None,356.0,,BU01970112
11281,1014800_1,None,88.0,,BU01970112
11282,1014850_2,None,13.0,,BU01970112
11372,M000297,None,885.0,,WK019702
11373,M001642,None,310.0,,WK019702
11378,1014800_1,None,78.0,,WK019702
11379,1014850_2,None,22.0,,WK019702
11495,M000297,None,86.0,,BU01970201
11496,M001642,None,460.0,,BU01970201
11501,1014800_1,None,86.0,,BU01970201
11502,1014850_2,None,14.0,,BU01970201
11604,M000297,None,86.0,,BU01970202
11605,M001642,None,385.0,,BU01970202
11610,1014800_1,None,90.0,,BU01970202
11611,1014850_2,None,10.0,,BU01970202
11715,M000297,None,29.0,,BU01970203
11716,M001642,None,441.0,,BU01970203
11721,1014800_1,None,79.0,,BU01970203
11722,1014850_2,None,21.0,,BU01970203
11810,M000297,None,684.0,,BU01970204
11811,M001642,None,275.0,,BU01970204
11816,1014800_1,None,76.0,,BU01970204
11817,1014850_2,None,24.0,,BU01970204
11935,M000297,None,5950.0,,WK019703
11936,M001642,None,288.0,,WK019703
11941,1014800_1,None,71.0,,WK019703
11942,1014850_2,None,29.0,,WK019703
12058,M000297,None,925.0,,BU01970301
12059,M001642,None,270.0,,BU01970301
12064,1014800_1,None,74.0,,BU01970301
12065,1014850_2,None,25.0,,BU01970301
12183,M000297,None,1033.0,,BU01970302
12184,M001642,None,276.0,,BU01970302
12189,1014800_1,None,79.0,,BU01970302
12190,1014850_2,None,21.0,,BU01970302
12308,M000297,None,578.0,,BU01970303
12309,M001642,None,316.0,,BU01970303
12314,1014800_1,None,83.0,,BU01970303
12315,1014850_2,None,17.0,,BU01970303
12433,M000297,None,1301.0,,BU01970304
12434,M001642,None,295.0,,BU01970304
12439,1014800_1,None,74.0,,BU01970304
12440,1014850_2,None,26.0,,BU01970304
12558,M000297,None,342.0,,BU01970305
12559,M001642,None,434.0,,BU01970305
12564,1014800_1,None,84.0,,BU01970305
12565,1014850_2,None,16.0,,BU01970305
12681,M000297,None,439.0,,BU01970306
12682,M001642,None,256.0,,BU01970306
12687,1014800_1,None,84.0,,BU01970306
12688,1014850_2,None,16.0,,BU01970306
12804,M000297,None,1332.0,,BU01970307
12805,M001642,None,264.0,,BU01970307
12810,1014800_1,None,48.0,,BU01970307
12811,1014850_2,None,52.0,,BU01970307
12929,M000297,None,3830.0,,WK019704
12930,M001642,None,308.0,,WK019704
12935,1014800_1,None,65.0,,WK019704
12936,1014850_2,None,35.0,,WK019704
13052,M000297,None,1459.0,,BU01970400
13053,M001642,None,271.0,,BU01970400
13058,1014800_1,None,49.0,,BU01970400
13059,1014850_2,None,51.0,,BU01970400
13177,M000297,None,833.0,,BU01970401
13178,M001642,None,311.0,,BU01970401
13183,1014800_1,None,70.0,,BU01970401
13184,1014850_2,None,30.0,,BU01970401
13302,M000297,None,1025.0,,BU01970402
13303,M001642,None,291.0,,BU01970402
13308,1014800_1,None,72.0,,BU01970402
13309,1014850_2,None,28.0,,BU01970402
13427,M000297,None,148.0,,BU01970403
13428,M001642,None,395.0,,BU01970403
13433,1014800_1,None,86.0,,BU01970403
13434,1014850_2,None,14.0,,BU01970403
13552,M000297,None,107.0,,BU01970408
13553,M001642,None,485.0,,BU01970408
13558,1014800_1,None,90.0,,BU01970408
13559,1014850_2,None,10.0,,BU01970408
13673,M000297,None,258.0,,BU01970409
13674,M001642,None,450.0,,BU01970409
13679,1014800_1,None,85.0,,BU01970409
13680,1014850_2,None,15.0,,BU01970409
13794,M000297,None,12289.0,,GM0059
13795,M001642,None,256.0,,GM0059
13800,1014800_1,None,64.0,,GM0059
13801,1014850_2,None,36.0,,GM0059
13917,M000297,None,5194.0,,WK005900
13918,M001642,None,246.0,,WK005900
13923,1014800_1,None,64.0,,WK005900
13924,1014850_2,None,36.0,,WK005900
14040,M000297,None,2352.0,,BU00590000
14041,M001642,None,236.0,,BU00590000
14046,1014800_1,None,60.0,,BU00590000
14047,1014850_2,None,40.0,,BU00590000
14165,M000297,None,433.0,,BU00590001
14166,M001642,None,246.0,,BU00590001
14171,1014800_1,None,67.0,,BU00590001
14172,1014850_2,None,33.0,,BU00590001
14290,M000297,None,888.0,,BU00590002
14291,M001642,None,221.0,,BU00590002
14296,1014800_1,None,59.0,,BU00590002
14297,1014850_2,None,41.0,,BU00590002
14415,M000297,None,663.0,,BU00590003
14416,M001642,None,230.0,,BU00590003
14421,1014800_1,None,61.0,,BU00590003
14422,1014850_2,None,39.0,,BU00590003
14540,M000297,None,320.0,,BU00590004
14541,M001642,None,216.0,,BU00590004
14546,1014800_1,None,68.0,,BU00590004
14547,1014850_2,None,33.0,,BU00590004
14665,M000297,None,245.0,,BU00590005
14666,M001642,None,358.0,,BU00590005
14671,1014800_1,None,78.0,,BU00590005
14672,1014850_2,None,22.0,,BU00590005
14784,M000297,None,37.0,,BU00590006
14785,M001642,None,378.0,,BU00590006
14790,1014800_1,None,97.0,,BU00590006
14791,1014850_2,None,3.0,,BU00590006
14875,M000297,None,131.0,,BU00590007
14876,M001642,None,380.0,,BU00590007
14881,1014800_1,None,95.0,,BU00590007
14882,1014850_2,None,5.0,,BU00590007
14990,M000297,None,94.0,,BU00590008
14991,M001642,None,363.0,,BU00590008
14996,1014800_1,None,90.0,,BU00590008
14997,1014850_2,None,10.0,,BU00590008
15103,M000297,None,31.0,,BU00590009
15104,M001642,None,406.0,,BU00590009
15109,1014800_1,None,90.0,,BU00590009
15110,1014850_2,None,10.0,,BU00590009
15202,M000297,None,1351.0,,WK005901
15203,M001642,None,268.0,,WK005901
15208,1014800_1,None,76.0,,WK005901
15209,1014850_2,None,24.0,,WK005901
15325,M000297,None,107.0,,BU00590100
15326,M001642,None,219.0,,BU00590100
15331,1014800_1,None,80.0,,BU00590100
15332,1014850_2,None,20.0,,BU00590100
15446,M000297,None,641.0,,BU00590102
15447,M001642,None,252.0,,BU00590102
15452,1014800_1,None,71.0,,BU00590102
15453,1014850_2,None,29.0,,BU00590102
15571,M000297,None,437.0,,BU00590103
15572,M001642,None,253.0,,BU00590103
15577,1014800_1,None,74.0,,BU00590103
15578,1014850_2,None,26.0,,BU00590103
15696,M000297,None,22.0,,BU00590107
15697,M001642,None,368.0,,BU00590107
15702,1014800_1,None,95.0,,BU00590107
15703,1014850_2,None,5.0,,BU00590107
15787,M000297,None,71.0,,BU00590108
15788,M001642,None,414.0,,BU00590108
15793,1014800_1,None,90.0,,BU00590108
15794,1014850_2,None,10.0,,BU00590108
15894,M000297,None,73.0,,BU00590109
15895,M001642,None,394.0,,BU00590109
15900,1014800_1,None,96.0,,BU00590109
15901,1014850_2,None,4.0,,BU00590109
16001,M000297,None,5744.0,,WK005902
16002,M001642,None,263.0,,WK005902
16007,1014800_1,None,61.0,,WK005902
16008,1014850_2,None,39.0,,WK005902
16124,M000297,None,2757.0,,BU00590200
16125,M001642,None,243.0,,BU00590200
16130,1014800_1,None,53.0,,BU00590200
16131,1014850_2,None,47.0,,BU00590200
16249,M000297,None,1703.0,,BU00590201
16250,M001642,None,255.0,,BU00590201
16255,1014800_1,None,64.0,,BU00590201
16256,1014850_2,None,36.0,,BU00590201
16374,M000297,None,364.0,,BU00590202
16375,M001642,None,256.0,,BU00590202
16380,1014800_1,None,75.0,,BU00590202
16381,1014850_2,None,25.0,,BU00590202
16499,M000297,None,319.0,,BU00590203
16500,M001642,None,249.0,,BU00590203
16505,1014800_1,None,67.0,,BU00590203
16506,1014850_2,None,33.0,,BU00590203
16624,M000297,None,160.0,,BU00590206
16625,M001642,None,373.0,,BU00590206
16630,1014800_1,None,62.0,,BU00590206
16631,1014850_2,None,38.0,,BU00590206
16743,M000297,None,105.0,,BU00590207
16744,M001642,None,406.0,,BU00590207
16749,1014800_1,None,88.0,,BU00590207
16750,1014850_2,None,12.0,,BU00590207
16862,M000297,None,147.0,,BU00590208
16863,M001642,None,400.0,,BU00590208
16868,1014800_1,None,95.0,,BU00590208
16869,1014850_2,None,5.0,,BU00590208
16979,M000297,None,189.0,,BU00590209
16980,M001642,None,395.0,,BU00590209
16985,1014800_1,None,85.0,,BU00590209
16986,1014850_2,None,15.0,,BU00590209
17098,M000297,None,8449.0,,GM0482
17099,M001642,None,324.0,,GM0482
17104,1014800_1,None,62.0,,GM0482
17105,1014850_2,None,38.0,,GM0482
17221,M000297,None,2147.0,,WK048201
17222,M001642,None,355.0,,WK048201
17227,1014800_1,None,67.0,,WK048201
17228,1014850_2,None,32.0,,WK048201
17345,M000297,None,383.0,,BU04820101
17346,M001642,None,435.0,,BU04820101
17351,1014800_1,None,75.0,,BU04820101
17352,1014850_2,None,25.0,,BU04820101
17470,M000297,None,388.0,,BU04820102
17471,M001642,None,221.0,,BU04820102
17476,1014800_1,None,31.0,,BU04820102
17477,1014850_2,None,69.0,,BU04820102
17591,M000297,None,674.0,,BU04820103
17592,M001642,None,295.0,,BU04820103
17597,1014800_1,None,75.0,,BU04820103
17598,1014850_2,None,25.0,,BU04820103
17716,M000297,None,204.0,,BU04820104
17717,M001642,None,459.0,,BU04820104
17722,1014800_1,None,85.0,,BU04820104
17723,1014850_2,None,14.0,,BU04820104
17841,M000297,None,498.0,,BU04820105
17842,M001642,None,436.0,,BU04820105
17847,1014800_1,None,73.0,,BU04820105
17848,1014850_2,None,27.0,,BU04820105
17967,M000297,None,1618.0,,WK048202
17968,M001642,None,305.0,,WK048202
17973,1014800_1,None,61.0,,WK048202
17974,1014850_2,None,39.0,,WK048202
18090,M000297,None,244.0,,BU04820201
18091,M001642,None,425.0,,BU04820201
18096,1014800_1,None,92.0,,BU04820201
18097,1014850_2,None,8.0,,BU04820201
18215,M000297,None,568.0,,BU04820202
18216,M001642,None,267.0,,BU04820202
