Id,Measure,ValueAttribute,Value,StringValue,WijkenEnBuurten
32,M000297,None,7740984.0,,NL00
33,M001642,None,230.0,,NL00
38,1014800_1,None,57.0,,NL00
39,1014850_2,None,42.0,,NL00
141,M000297,None,11165.0,,GM1680
142,M001642,None,229.0,,GM1680
147,1014800_1,None,73.0,,GM1680
148,1014850_2,None,25.0,,GM1680
254,M000297,None,1595.0,,WK168000
255,M001642,None,233.0,,WK168000
260,1014800_1,None,73.0,,WK168000
261,1014850_2,None,23.0,,WK168000
367,M000297,None,1532.0,,BU16800000
368,M001642,None,226.0,,BU16800000
373,1014800_1,None,72.0,,BU16800000
374,1014850_2,None,24.0,,BU16800000
482,M000297,None,63.0,,BU16800009
483,M001642,None,412.0,,BU16800009
488,1014800_1,None,98.0,,BU16800009
489,1014850_2,None,2.0,,BU16800009
572,M000297,None,582.0,,WK168001
573,M001642,None,240.0,,WK168001
578,1014800_1,None,83.0,,WK168001
579,1014850_2,None,17.0,,WK168001
685,M000297,None,534.0,,BU16800100
686,M001642,None,229.0,,BU16800100
691,1014800_1,None,82.0,,BU16800100
692,1014850_2,None,18.0,,BU16800100
800,M000297,None,48.0,,BU16800109
801,M001642,None,349.0,,BU16800109
806,1014800_1,None,92.0,,BU16800109
807,1014850_2,None,8.0,,BU16800109
891,M000297,None,168.0,,WK168002
892,M001642,None,268.0,,WK168002
897,1014800_1,None,81.0,,WK168002
898,1014850_2,None,19.0,,WK168002
998,M000297,None,144.0,,BU16800200
999,M001642,None,278.0,,BU16800200
1004,1014800_1,None,81.0,,BU16800200
1005,1014850_2,None,19.0,,BU16800200
1105,M000297,None,24.0,,BU16800209
1110,1014800_1,None,79.0,,BU16800209
1111,1014850_2,None,21.0,,BU16800209
1189,M000297,None,172.0,,WK168003
1190,M001642,None,308.0,,WK168003
1195,1014800_1,None,92.0,,WK168003
1196,1014850_2,None,8.0,,WK168003
1300,M000297,None,167.0,,BU16800300
1301,M001642,None,306.0,,BU16800300
1306,1014800_1,None,92.0,,BU16800300
1307,1014850_2,None,8.0,,BU16800300
1413,M000297,None,5.0,,BU16800309
1465,M000297,None,110.0,,WK168004
1466,M001642,None,310.0,,WK168004
1471,1014800_1,None,85.0,,WK168004
1472,1014850_2,None,15.0,,WK168004
1570,M000297,None,100.0,,BU16800400
1571,M001642,None,310.0,,BU16800400
1576,1014800_1,None,86.0,,BU16800400
1577,1014850_2,None,14.0,,BU16800400
1667,M000297,None,10.0,,BU16800409
1719,M000297,None,241.0,,WK168005
1720,M001642,None,359.0,,WK168005
1725,1014800_1,None,90.0,,WK168005
1726,1014850_2,None,9.0,,WK168005
1826,M000297,None,211.0,,BU16800500
1827,M001642,None,353.0,,BU16800500
1832,1014800_1,None,93.0,,BU16800500
1833,1014850_2,None,7.0,,BU16800500
1935,M000297,None,30.0,,BU16800509
1940,1014800_1,None,70.0,,BU16800509
1941,1014850_2,None,23.0,,BU16800509
2013,M000297,None,181.0,,WK168006
2014,M001642,None,236.0,,WK168006
2019,1014800_1,None,89.0,,WK168006
2020,1014850_2,None,10.0,,WK168006
2120,M000297,None,175.0,,BU16800600
2121,M001642,None,236.0,,BU16800600
2126,1014800_1,None,89.0,,BU16800600
2127,1014850_2,None,10.0,,BU16800600
2229,M000297,None,6.0,,BU16800609
2281,M000297,None,64.0,,WK168007
2282,M001642,None,217.0,,WK168007
2287,1014800_1,None,89.0,,WK168007
2288,1014850_2,None,11.0,,WK168007
2366,M000297,None,64.0,,BU16800700
2367,M001642,None,217.0,,BU16800700
2372,1014800_1,None,89.0,,BU16800700
2373,1014850_2,None,11.0,,BU16800700
2451,M000297,None,0.0,,BU16800709
2499,M000297,None,43.0,,WK168008
2504,1014800_1,None,98.0,,WK168008
2505,1014850_2,None,2.0,,WK168008
2574,M000297,None,40.0,,BU16800800
2579,1014800_1,None,98.0,,BU16800800
2580,1014850_2,None,3.0,,BU16800800
2649,M000297,None,3.0,,BU16800809
2697,M000297,None,48.0,,WK168009
2702,1014800_1,None,96.0,,WK168009
2703,1014850_2,None,4.0,,WK168009
2777,M000297,None,47.0,,BU16800900
2782,1014800_1,None,96.0,,BU16800900
2783,1014850_2,None,4.0,,BU16800900
2855,M000297,None,1.0,,BU16800909
2903,M000297,None,185.0,,WK168011
2904,M001642,None,179.0,,WK168011
2909,1014800_1,None,73.0,,WK168011
2910,1014850_2,None,26.0,,WK168011
3010,M000297,None,185.0,,BU16801100
3011,M001642,None,179.0,,BU16801100
3016,1014800_1,None,73.0,,BU16801100
3017,1014850_2,None,26.0,,BU16801100
3118,M000297,None,0.0,,BU16801109
3166,M000297,None,106.0,,WK168012
3167,M001642,None,133.0,,WK168012
3172,1014800_1,None,86.0,,WK168012
3173,1014850_2,None,14.0,,WK168012
3266,M000297,None,106.0,,BU16801200
3267,M001642,None,143.0,,BU16801200
3272,1014800_1,None,86.0,,BU16801200
3273,1014850_2,None,14.0,,BU16801200
3366,M000297,None,0.0,,BU16801209
3418,M000297,None,60.0,,WK168013
3419,M001642,None,271.0,,WK168013
3424,1014800_1,None,93.0,,WK168013
3425,1014850_2,None,5.0,,WK168013
3510,M000297,None,46.0,,BU16801300
3515,1014800_1,None,91.0,,BU16801300
3516,1014850_2,None,7.0,,BU16801300
3589,M000297,None,14.0,,BU16801309
3647,M000297,None,768.0,,WK168014
3648,M001642,None,217.0,,WK168014
3653,1014800_1,None,72.0,,WK168014
3654,1014850_2,None,28.0,,WK168014
3760,M000297,None,675.0,,BU16801400
3761,M001642,None,214.0,,BU16801400
3766,1014800_1,None,71.0,,BU16801400
3767,1014850_2,None,29.0,,BU16801400
3875,M000297,None,57.0,,BU16801401
3876,M001642,None,321.0,,BU16801401
3881,1014800_1,None,91.0,,BU16801401
3882,1014850_2,None,9.0,,BU16801401
3960,M000297,None,36.0,,BU16801409
3961,M001642,None,164.0,,BU16801409
3966,1014800_1,None,67.0,,BU16801409
3967,1014850_2,None,31.0,,BU16801409
4061,M000297,None,793.0,,WK168015
4062,M001642,None,163.0,,WK168015
4067,1014800_1,None,60.0,,WK168015
4068,1014850_2,None,39.0,,WK168015
4174,M000297,None,776.0,,BU16801500
4175,M001642,None,162.0,,BU16801500
4180,1014800_1,None,60.0,,BU16801500
4181,1014850_2,None,40.0,,BU16801500
4289,M000297,None,17.0,,BU16801501
4348,M000297,None,0.0,,BU16801509
4396,M000297,None,293.0,,WK168016
4397,M001642,None,186.0,,WK168016
4402,1014800_1,None,82.0,,WK168016
4403,1014850_2,None,18.0,,WK168016
4507,M000297,None,279.0,,BU16801600
4508,M001642,None,183.0,,BU16801600
4513,1014800_1,None,82.0,,BU16801600
4514,1014850_2,None,18.0,,BU16801600
4620,M000297,None,12.0,,BU16801601
4677,M000297,None,2.0,,BU16801609
4726,M000297,None,2327.0,,WK168017
4727,M001642,None,218.0,,WK168017
4732,1014800_1,None,67.0,,WK168017
4733,1014850_2,None,33.0,,WK168017
4839,M000297,None,2258.0,,BU16801700
4840,M001642,None,214.0,,BU16801700
4845,1014800_1,None,66.0,,BU16801700
4846,1014850_2,None,34.0,,BU16801700
4954,M000297,None,69.0,,BU16801709
4955,M001642,None,355.0,,BU16801709
4960,1014800_1,None,97.0,,BU16801709
4961,1014850_2,None,3.0,,BU16801709
5046,M000297,None,521.0,,WK168018
5047,M001642,None,202.0,,WK168018
5052,1014800_1,None,80.0,,WK168018
5053,1014850_2,None,19.0,,WK168018
5159,M000297,None,291.0,,BU16801800
5160,M001642,None,176.0,,BU16801800
5165,1014800_1,None,70.0,,BU16801800
5166,1014850_2,None,30.0,,BU16801800
5274,M000297,None,42.0,,BU16801801
5279,1014800_1,None,90.0,,BU16801801
5280,1014850_2,None,7.0,,BU16801801
5350,M000297,None,101.0,,BU16801802
5351,M001642,None,205.0,,BU16801802
5356,1014800_1,None,92.0,,BU16801802
5357,1014850_2,None,8.0,,BU16801802
5449,M000297,None,87.0,,BU16801809
5450,M001642,None,267.0,,BU16801809
5455,1014800_1,None,98.0,,BU16801809
5456,1014850_2,None,2.0,,BU16801809
5542,M000297,None,2140.0,,WK168019
5543,M001642,None,260.0,,WK168019
5548,1014800_1,None,70.0,,WK168019
5549,1014850_2,None,26.0,,WK168019
5655,M000297,None,1852.0,,BU16801900
5656,M001642,None,228.0,,BU16801900
5661,1014800_1,None,69.0,,BU16801900
5662,1014850_2,None,27.0,,BU16801900
5770,M000297,None,57.0,,BU16801901
5771,M001642,None,372.0,,BU16801901
5776,1014800_1,None,91.0,,BU16801901
5777,1014850_2,None,7.0,,BU16801901
5862,M000297,None,26.0,,BU16801902
5867,1014800_1,None,92.0,,BU16801902
5868,1014850_2,None,8.0,,BU16801902
5940,M000297,None,32.0,,BU16801903
5945,1014800_1,None,81.0,,BU16801903
5946,1014850_2,None,19.0,,BU16801903
6018,M000297,None,117.0,,BU16801908
6019,M001642,None,565.0,,BU16801908
6024,1014800_1,None,52.0,,BU16801908
6025,1014850_2,None,48.0,,BU16801908
6128,M000297,None,56.0,,BU16801909
6133,1014800_1,None,91.0,,BU16801909
6134,1014850_2,None,9.0,,BU16801909
6217,M000297,None,578.0,,WK168020
6218,M001642,None,202.0,,WK168020
6223,1014800_1,None,73.0,,WK168020
6224,1014850_2,None,26.0,,WK168020
6328,M000297,None,275.0,,BU16802000
6329,M001642,None,255.0,,BU16802000
6334,1014800_1,None,84.0,,BU16802000
6335,1014850_2,None,16.0,,BU16802000
6439,M000297,None,84.0,,BU16802001
6440,M001642,None,264.0,,BU16802001
6445,1014800_1,None,83.0,,BU16802001
6446,1014850_2,None,17.0,,BU16802001
6536,M000297,None,23.0,,BU16802008
6541,1014800_1,None,61.0,,BU16802008
6542,1014850_2,None,35.0,,BU16802008
6612,M000297,None,196.0,,BU16802009
6613,M001642,None,113.0,,BU16802009
6618,1014800_1,None,55.0,,BU16802009
6619,1014850_2,None,44.0,,BU16802009
6715,M000297,None,190.0,,WK168021
6716,M001642,None,310.0,,WK168021
6721,1014800_1,None,87.0,,WK168021
6722,1014850_2,None,13.0,,WK168021
6822,M000297,None,108.0,,BU16802100
6823,M001642,None,276.0,,BU16802100
6828,1014800_1,None,84.0,,BU16802100
6829,1014850_2,None,16.0,,BU16802100
6920,M000297,None,35.0,,BU16802101
6925,1014800_1,None,91.0,,BU16802101
6926,1014850_2,None,9.0,,BU16802101
6996,M000297,None,47.0,,BU16802109
7001,1014800_1,None,91.0,,BU16802109
7002,1014850_2,None,9.0,,BU16802109
7082,M000297,None,5109.0,,GM0738
7083,M001642,None,251.0,,GM0738
7088,1014800_1,None,72.0,,GM0738
7089,1014850_2,None,27.0,,GM0738
7195,M000297,None,2382.0,,WK073800
7196,M001642,None,251.0,,WK073800
7201,1014800_1,None,70.0,,WK073800
7202,1014850_2,None,29.0,,WK073800
7308,M000297,None,2005.0,,BU07380000
7309,M001642,None,235.0,,BU07380000
7314,1014800_1,None,66.0,,BU07380000
7315,1014850_2,None,33.0,,BU07380000
7423,M000297,None,291.0,,BU07380001
7424,M001642,None,320.0,,BU07380001
7429,1014800_1,None,89.0,,BU07380001
7430,1014850_2,None,11.0,,BU07380001
7536,M000297,None,86.0,,BU07380009
7537,M001642,None,388.0,,BU07380009
7542,1014800_1,None,90.0,,BU07380009
7543,1014850_2,None,9.0,,BU07380009
7629,M000297,None,1110.0,,WK073801
7630,M001642,None,244.0,,WK073801
7635,1014800_1,None,70.0,,WK073801
7636,1014850_2,None,29.0,,WK073801
7742,M000297,None,1093.0,,BU07380100
7743,M001642,None,242.0,,BU07380100
7748,1014800_1,None,70.0,,BU07380100
7749,1014850_2,None,29.0,,BU07380100
7857,M000297,None,17.0,,BU07380109
7927,M000297,None,667.0,,WK073802
7928,M001642,None,249.0,,WK073802
7933,1014800_1,None,75.0,,WK073802
7934,1014850_2,None,24.0,,WK073802
8040,M000297,None,634.0,,BU07380200
8041,M001642,None,248.0,,BU07380200
8046,1014800_1,None,74.0,,BU07380200
8047,1014850_2,None,25.0,,BU07380200
8155,M000297,None,33.0,,BU07380209
8160,1014800_1,None,88.0,,BU07380209
8161,1014850_2,None,12.0,,BU07380209
8233,M000297,None,341.0,,WK073803
8234,M001642,None,243.0,,WK073803
8239,1014800_1,None,74.0,,WK073803
8240,1014850_2,None,26.0,,WK073803
8346,M000297,None,268.0,,BU07380300
8347,M001642,None,252.0,,BU07380300
8352,1014800_1,None,81.0,,BU07380300
8353,1014850_2,None,19.0,,BU07380300
8459,M000297,None,73.0,,BU07380309
8460,M001642,None,207.0,,BU07380309
8465,1014800_1,None,48.0,,BU07380309
8466,1014850_2,None,52.0,,BU07380309
8551,M000297,None,283.0,,WK073804
8552,M001642,None,235.0,,WK073804
8557,1014800_1,None,80.0,,WK073804
8558,1014850_2,None,20.0,,WK073804
8664,M000297,None,253.0,,BU07380400
8665,M001642,None,225.0,,BU07380400
8670,1014800_1,None,78.0,,BU07380400
8671,1014850_2,None,22.0,,BU07380400
8779,M000297,None,30.0,,BU07380409
8784,1014800_1,None,93.0,,BU07380409
8785,1014850_2,None,7.0,,BU07380409
8855,M000297,None,162.0,,WK073805
8856,M001642,None,307.0,,WK073805
8861,1014800_1,None,85.0,,WK073805
8862,1014850_2,None,15.0,,WK073805
8962,M000297,None,100.0,,BU07380500
8963,M001642,None,269.0,,BU07380500
8968,1014800_1,None,80.0,,BU07380500
8969,1014850_2,None,20.0,,BU07380500
9059,M000297,None,62.0,,BU07380509
9060,M001642,None,378.0,,BU07380509
9065,1014800_1,None,94.0,,BU07380509
9066,1014850_2,None,6.0,,BU07380509
9151,M000297,None,164.0,,WK073806
9152,M001642,None,314.0,,WK073806
9157,1014800_1,None,86.0,,WK073806
9158,1014850_2,None,14.0,,WK073806
9258,M000297,None,139.0,,BU07380600
9259,M001642,None,314.0,,BU07380600
9264,1014800_1,None,87.0,,BU07380600
9265,1014850_2,None,13.0,,BU07380600
9367,M000297,None,25.0,,BU07380609
9372,1014800_1,None,80.0,,BU07380609
9373,1014850_2,None,20.0,,BU07380609
9442,M000297,None,12888.0,,GM0358
9443,M001642,None,304.0,,GM0358
9448,1014800_1,None,64.0,,GM0358
9449,1014850_2,None,34.0,,GM0358
9553,M000297,None,5530.0,,WK035800
9554,M001642,None,296.0,,WK035800
9559,1014800_1,None,59.0,,WK035800
9560,1014850_2,None,37.0,,WK035800
9664,M000297,None,1259.0,,BU03580000
9665,M001642,None,321.0,,BU03580000
9670,1014800_1,None,55.0,,BU03580000
9671,1014850_2,None,35.0,,BU03580000
9777,M000297,None,2851.0,,BU03580001
9778,M001642,None,271.0,,BU03580001
9783,1014800_1,None,60.0,,BU03580001
9784,1014850_2,None,36.0,,BU03580001
9890,M000297,None,1123.0,,BU03580004
9891,M001642,None,270.0,,BU03580004
9896,1014800_1,None,56.0,,BU03580004
9897,1014850_2,None,44.0,,BU03580004
10003,M000297,None,297.0,,BU03580005
10004,M001642,None,574.0,,BU03580005
10009,1014800_1,None,73.0,,BU03580005
10010,1014850_2,None,26.0,,BU03580005
10110,M000297,None,3760.0,,WK035801
10111,M001642,None,276.0,,WK035801
10116,1014800_1,None,65.0,,WK035801
10117,1014850_2,None,35.0,,WK035801
10221,M000297,None,3760.0,,BU03580100
10222,M001642,None,276.0,,BU03580100
10227,1014800_1,None,65.0,,BU03580100
10228,1014850_2,None,35.0,,BU03580100
10334,M000297,None,3598.0,,WK035802
10335,M001642,None,351.0,,WK035802
10340,1014800_1,None,71.0,,WK035802
10341,1014850_2,None,28.0,,WK035802
10445,M000297,None,370.0,,BU03580200
10446,M001642,None,316.0,,BU03580200
10451,1014800_1,None,72.0,,BU03580200
