Id,Measure,ValueAttribute,Value,StringValue,RegioS
3954,M000297,None,41.0,,BU00070209
3959,1014800_1,None,90.0,,BU00070209
3960,1014850_2,None,10.0,,BU00070209
4034,M000297,None,2964.0,,GM0009
4040,1014800_1,None,78.0,,GM0009
4041,1014850_2,None,21.0,,GM0009
4137,M000297,None,2360.0,,WK000900
4143,1014800_1,None,79.0,,WK000900
4144,1014850_2,None,21.0,,WK000900
4241,M000297,None,1729.0,,BU00090000
4247,1014800_1,None,77.0,,BU00090000
4248,1014850_2,None,23.0,,BU00090000
4341,M000297,None,185.0,,BU00090001
4347,1014800_1,None,81.0,,BU00090001
4348,1014850_2,None,19.0,,BU00090001
4436,M000297,None,179.0,,BU00090002
4442,1014800_1,None,81.0,,BU00090002
4443,1014850_2,None,19.0,,BU00090002
4531,M000297,None,57.0,,BU00090003
4537,1014800_1,None,82.0,,BU00090003
4538,1014850_2,None,18.0,,BU00090003
4610,M000297,None,30.0,,BU00090005
4615,1014800_1,None,97.0,,BU00090005
4616,1014850_2,None,3.0,,BU00090005
4682,M000297,None,180.0,,BU00090009
4688,1014800_1,None,89.0,,BU00090009
4689,1014850_2,None,10.0,,BU00090009
4779,M000297,None,604.0,,WK000901
4785,1014800_1,None,78.0,,WK000901
4786,1014850_2,None,22.0,,WK000901
4873,M000297,None,310.0,,BU00090100
4879,1014800_1,None,74.0,,BU00090100
4880,1014850_2,None,26.0,,BU00090100
4969,M000297,None,41.0,,BU00090101
4974,1014800_1,None,95.0,,BU00090101
4975,1014850_2,None,5.0,,BU00090101
5048,M000297,None,142.0,,BU00090102
5054,1014800_1,None,73.0,,BU00090102
5055,1014850_2,None,27.0,,BU00090102
5135,M000297,None,26.0,,BU00090104
5140,1014800_1,None,96.0,,BU00090104
5141,1014850_2,None,0.0,,BU00090104
5202,M000297,None,21.0,,BU00090106
5207,1014800_1,None,100.0,,BU00090106
5208,1014850_2,None,0.0,,BU00090106
5268,M000297,None,64.0,,BU00090109
5273,1014800_1,None,86.0,,BU00090109
5274,1014850_2,None,13.0,,BU00090109
5351,M000297,None,12027.0,,GM0010
5357,1014800_1,None,62.0,,GM0010
5358,1014850_2,None,38.0,,GM0010
5454,M000297,None,8388.0,,WK001000
5460,1014800_1,None,55.0,,WK001000
