Id,Measure,ValueAttribute,Value,StringValue,RegioS
308627,1014850_2,None,25.0,,BU02288001
308718,M000297,None,344.0,,BU02288031
308724,1014800_1,None,55.0,,BU02288031
308725,1014850_2,None,26.0,,BU02288031
308811,M000297,None,225.0,,BU02288051
308890,M000297,None,1891.0,,WK022890
308896,1014800_1,None,37.0,,WK022890
308897,1014850_2,None,26.0,,WK022890
308992,M000297,None,635.0,,BU02289001
308998,1014800_1,None,77.0,,BU02289001
308999,1014850_2,None,23.0,,BU02289001
309091,M000297,None,499.0,,BU02289031
309097,1014800_1,None,33.0,,BU02289031
309098,1014850_2,None,30.0,,BU02289031
309181,M000297,None,529.0,,BU02289051
309237,M000297,None,219.0,,BU02289052
309305,M000297,None,9.0,,BU02289053
309368,M000297,None,8762.0,,GM0230
309374,1014800_1,None,64.0,,GM0230
309375,1014850_2,None,36.0,,GM0230
309471,M000297,None,4794.0,,WK023001
309477,1014800_1,None,60.0,,WK023001
309478,1014850_2,None,39.0,,WK023001
309575,M000297,None,524.0,,BU02300100
309581,1014800_1,None,52.0,,BU02300100
309582,1014850_2,None,46.0,,BU02300100
309678,M000297,None,654.0,,BU02300101
309684,1014800_1,None,68.0,,BU02300101
309685,1014850_2,None,31.0,,BU02300101
309782,M000297,None,1247.0,,BU02300102
309788,1014800_1,None,47.0,,BU02300102
309789,1014850_2,None,53.0,,BU02300102
309886,M000297,None,941.0,,BU02300103
309892,1014800_1,None,58.0,,BU02300103
309893,1014850_2,None,42.0,,BU02300103
309990,M000297,None,1083.0,,BU02300104
309996,1014800_1,None,73.0,,BU02300104
309997,1014850_2,None,27.0,,BU02300104
310088,M000297,None,246.0,,BU02300105
310094,1014800_1,None,70.0,,BU02300105
310095,1014850_2,None,30.0,,BU02300105
310179,M000297,None,47.0,,BU02300108
310184,1014800_1,None,85.0,,BU02300108
310185,1014850_2,None,15.0,,BU02300108
310261,M000297,None,52.0,,BU02300109
310267,1014800_1,None,85.0,,BU02300109
310268,1014850_2,None,15.0,,BU02300109
310347,M000297,None,2586.0,,WK023002
310353,1014800_1,None,66.0,,WK023002
310354,1014850_2,None,33.0,,WK023002
310451,M000297,None,1019.0,,BU02300201
310457,1014800_1,None,71.0,,BU02300201
310458,1014850_2,None,29.0,,BU02300201
310555,M000297,None,763.0,,BU02300202
310561,1014800_1,None,72.0,,BU02300202
310562,1014850_2,None,28.0,,BU02300202
310657,M000297,None,514.0,,BU02300203
310663,1014800_1,None,51.0,,BU02300203
310664,1014850_2,None,49.0,,BU02300203
310756,M000297,None,282.0,,BU02300207
310762,1014800_1,None,62.0,,BU02300207
310763,1014850_2,None,34.0,,BU02300207
310836,M000297,None,8.0,,BU02300209
310891,M000297,None,1382.0,,WK023003
310897,1014800_1,None,71.0,,WK023003
310898,1014850_2,None,28.0,,WK023003
310993,M000297,None,553.0,,BU02300300
310999,1014800_1,None,54.0,,BU02300300
311000,1014850_2,None,44.0,,BU02300300
311092,M000297,None,280.0,,BU02300304
311098,1014800_1,None,85.0,,BU02300304
311099,1014850_2,None,14.0,,BU02300304
311187,M000297,None,198.0,,BU02300306
311193,1014800_1,None,80.0,,BU02300306
311194,1014850_2,None,19.0,,BU02300306
311290,M000297,None,351.0,,BU02300308
311296,1014800_1,None,79.0,,BU02300308
311297,1014850_2,None,18.0,,BU02300308
311388,M000297,None,13698.0,,GM0232
311394,1014800_1,None,62.0,,GM0232
311395,1014850_2,None,37.0,,GM0232
311491,M000297,None,6411.0,,WK023200
311497,1014800_1,None,63.0,,WK023200
311498,1014850_2,None,37.0,,WK023200
311595,M000297,None,1012.0,,BU02320000
311601,1014800_1,None,62.0,,BU02320000
311602,1014850_2,None,36.0,,BU02320000
311699,M000297,None,1155.0,,BU02320001
311705,1014800_1,None,61.0,,BU02320001
311706,1014850_2,None,38.0,,BU02320001
311803,M000297,None,2761.0,,BU02320002
311809,1014800_1,None,51.0,,BU02320002
311810,1014850_2,None,49.0,,BU02320002
311909,M000297,None,352.0,,BU02320003
311915,1014800_1,None,83.0,,BU02320003
311916,1014850_2,None,16.0,,BU02320003
312007,M000297,None,484.0,,BU02320004
312013,1014800_1,None,88.0,,BU02320004
312014,1014850_2,None,11.0,,BU02320004
312105,M000297,None,354.0,,BU02320008
312111,1014800_1,None,88.0,,BU02320008
312112,1014850_2,None,11.0,,BU02320008
312201,M000297,None,293.0,,BU02320009
312207,1014800_1,None,80.0,,BU02320009
312208,1014850_2,None,19.0,,BU02320009
312298,M000297,None,1809.0,,WK023201
312304,1014800_1,None,79.0,,WK023201
312305,1014850_2,None,20.0,,WK023201
312396,M000297,None,523.0,,BU02320100
312402,1014800_1,None,65.0,,BU02320100
312403,1014850_2,None,34.0,,BU02320100
312498,M000297,None,262.0,,BU02320101
312504,1014800_1,None,68.0,,BU02320101
312505,1014850_2,None,29.0,,BU02320101
312601,M000297,None,485.0,,BU02320107
312607,1014800_1,None,88.0,,BU02320107
312608,1014850_2,None,11.0,,BU02320107
312694,M000297,None,404.0,,BU02320108
312700,1014800_1,None,90.0,,BU02320108
312701,1014850_2,None,10.0,,BU02320108
312787,M000297,None,135.0,,BU02320109
312793,1014800_1,None,91.0,,BU02320109
312794,1014850_2,None,9.0,,BU02320109
312880,M000297,None,5294.0,,WK023202
312886,1014800_1,None,55.0,,WK023202
312887,1014850_2,None,44.0,,WK023202
312978,M000297,None,501.0,,BU02320200
312984,1014800_1,None,56.0,,BU02320200
312985,1014850_2,None,44.0,,BU02320200
313081,M000297,None,997.0,,BU02320201
313087,1014800_1,None,57.0,,BU02320201
313088,1014850_2,None,42.0,,BU02320201
313185,M000297,None,2015.0,,BU02320202
313191,1014800_1,None,38.0,,BU02320202
313192,1014850_2,None,62.0,,BU02320202
313291,M000297,None,258.0,,BU02320203
313297,1014800_1,None,71.0,,BU02320203
313298,1014850_2,None,26.0,,BU02320203
313394,M000297,None,809.0,,BU02320204
313400,1014800_1,None,67.0,,BU02320204
313401,1014850_2,None,31.0,,BU02320204
313497,M000297,None,154.0,,BU02320207
313503,1014800_1,None,74.0,,BU02320207
313504,1014850_2,None,26.0,,BU02320207
313594,M000297,None,386.0,,BU02320208
313600,1014800_1,None,88.0,,BU02320208
313601,1014850_2,None,12.0,,BU02320208
313690,M000297,None,174.0,,BU02320209
313696,1014800_1,None,86.0,,BU02320209
313697,1014850_2,None,13.0,,BU02320209
313782,M000297,None,184.0,,WK023203
313788,1014800_1,None,58.0,,WK023203
313789,1014850_2,None,41.0,,WK023203
313860,M000297,None,10.0,,BU02320300
313901,M000297,None,11.0,,BU02320301
313955,M000297,None,47.0,,BU02320308
313961,1014800_1,None,28.0,,BU02320308
313962,1014850_2,None,70.0,,BU02320308
314028,M000297,None,116.0,,BU02320309
314034,1014800_1,None,74.0,,BU02320309
314035,1014850_2,None,25.0,,BU02320309
314121,M000297,None,10301.0,,GM0233
314127,1014800_1,None,60.0,,GM0233
314128,1014850_2,None,38.0,,GM0233
314224,M000297,None,10009.0,,WK023300
314230,1014800_1,None,60.0,,WK023300
314231,1014850_2,None,38.0,,WK023300
314328,M000297,None,4283.0,,BU02330000
314334,1014800_1,None,63.0,,BU02330000
314335,1014850_2,None,36.0,,BU02330000
314434,M000297,None,1519.0,,BU02330001
314440,1014800_1,None,62.0,,BU02330001
314441,1014850_2,None,38.0,,BU02330001
314538,M000297,None,2521.0,,BU02330002
314544,1014800_1,None,57.0,,BU02330002
314545,1014850_2,None,43.0,,BU02330002
314644,M000297,None,487.0,,BU02330003
314650,1014800_1,None,42.0,,BU02330003
314651,1014850_2,None,52.0,,BU02330003
314750,M000297,None,282.0,,BU02330004
314756,1014800_1,None,62.0,,BU02330004
314757,1014850_2,None,35.0,,BU02330004
314843,M000297,None,131.0,,BU02330005
314849,1014800_1,None,78.0,,BU02330005
314850,1014850_2,None,21.0,,BU02330005
314939,M000297,None,245.0,,BU02330006
314945,1014800_1,None,58.0,,BU02330006
314946,1014850_2,None,42.0,,BU02330006
315033,M000297,None,247.0,,BU02330007
315039,1014800_1,None,74.0,,BU02330007
315040,1014850_2,None,23.0,,BU02330007
315130,M000297,None,227.0,,BU02330008
315136,1014800_1,None,63.0,,BU02330008
315137,1014850_2,None,35.0,,BU02330008
315226,M000297,None,67.0,,BU02330009
315231,1014800_1,None,27.0,,BU02330009
315232,1014850_2,None,40.0,,BU02330009
315307,M000297,None,292.0,,WK023301
315313,1014800_1,None,58.0,,WK023301
315314,1014850_2,None,40.0,,WK023301
315396,M000297,None,145.0,,BU02330100
315402,1014800_1,None,74.0,,BU02330100
315403,1014850_2,None,26.0,,BU02330100
315477,M000297,None,23.0,,BU02330105
315482,1014800_1,None,17.0,,BU02330105
315483,1014850_2,None,78.0,,BU02330105
315543,M000297,None,27.0,,BU02330106
315548,1014800_1,None,63.0,,BU02330106
315549,1014850_2,None,26.0,,BU02330106
315616,M000297,None,26.0,,BU02330107
315621,1014800_1,None,4.0,,BU02330107
315622,1014850_2,None,96.0,,BU02330107
315681,M000297,None,37.0,,BU02330108
315686,1014800_1,None,65.0,,BU02330108
315687,1014850_2,None,32.0,,BU02330108
315754,M000297,None,34.0,,BU02330109
315759,1014800_1,None,50.0,,BU02330109
315760,1014850_2,None,47.0,,BU02330109
315828,M000297,None,10369.0,,GM0236
315834,1014800_1,None,67.0,,GM0236
315835,1014850_2,None,32.0,,GM0236
315931,M000297,None,5721.0,,WK023600
315937,1014800_1,None,65.0,,WK023600
315938,1014850_2,None,34.0,,WK023600
316035,M000297,None,1544.0,,BU02360000
316041,1014800_1,None,52.0,,BU02360000
316042,1014850_2,None,47.0,,BU02360000
316141,M000297,None,1139.0,,BU02360001
316147,1014800_1,None,72.0,,BU02360001
316148,1014850_2,None,26.0,,BU02360001
316240,M000297,None,203.0,,BU02360002
316246,1014800_1,None,85.0,,BU02360002
316247,1014850_2,None,14.0,,BU02360002
316338,M000297,None,1315.0,,BU02360003
316344,1014800_1,None,58.0,,BU02360003
316345,1014850_2,None,42.0,,BU02360003
316442,M000297,None,1277.0,,BU02360004
316448,1014800_1,None,75.0,,BU02360004
316449,1014850_2,None,24.0,,BU02360004
316540,M000297,None,81.0,,BU02360008
316546,1014800_1,None,81.0,,BU02360008
316547,1014850_2,None,14.0,,BU02360008
316625,M000297,None,162.0,,BU02360009
316631,1014800_1,None,77.0,,BU02360009
316632,1014850_2,None,20.0,,BU02360009
316722,M000297,None,1531.0,,WK023601
316728,1014800_1,None,72.0,,WK023601
316729,1014850_2,None,26.0,,WK023601
316824,M000297,None,752.0,,BU02360100
316830,1014800_1,None,75.0,,BU02360100
316831,1014850_2,None,24.0,,BU02360100
316928,M000297,None,179.0,,BU02360101
316934,1014800_1,None,56.0,,BU02360101
316935,1014850_2,None,43.0,,BU02360101
317029,M000297,None,244.0,,BU02360102
317035,1014800_1,None,70.0,,BU02360102
317036,1014850_2,None,23.0,,BU02360102
317124,M000297,None,97.0,,BU02360103
317130,1014800_1,None,78.0,,BU02360103
317131,1014850_2,None,20.0,,BU02360103
317214,M000297,None,33.0,,BU02360106
317219,1014800_1,None,76.0,,BU02360106
317220,1014850_2,None,21.0,,BU02360106
317282,M000297,None,97.0,,BU02360107
317288,1014800_1,None,78.0,,BU02360107
317289,1014850_2,None,22.0,,BU02360107
317371,M000297,None,50.0,,BU02360108
317376,1014800_1,None,66.0,,BU02360108
317377,1014850_2,None,30.0,,BU02360108
317451,M000297,None,79.0,,BU02360109
317456,1014800_1,None,78.0,,BU02360109
317457,1014850_2,None,19.0,,BU02360109
317542,M000297,None,1884.0,,WK023602
317548,1014800_1,None,68.0,,WK023602
317549,1014850_2,None,31.0,,WK023602
317646,M000297,None,1218.0,,BU02360200
317652,1014800_1,None,66.0,,BU02360200
317653,1014850_2,None,33.0,,BU02360200
317749,M000297,None,206.0,,BU02360201
317755,1014800_1,None,66.0,,BU02360201
317756,1014850_2,None,33.0,,BU02360201
317844,M000297,None,165.0,,BU02360202
317850,1014800_1,None,73.0,,BU02360202
317851,1014850_2,None,27.0,,BU02360202
317939,M000297,None,38.0,,BU02360207
317944,1014800_1,None,84.0,,BU02360207
317945,1014850_2,None,16.0,,BU02360207
318010,M000297,None,97.0,,BU02360208
318016,1014800_1,None,81.0,,BU02360208
318017,1014850_2,None,16.0,,BU02360208
318099,M000297,None,160.0,,BU02360209
318105,1014800_1,None,65.0,,BU02360209
318106,1014850_2,None,32.0,,BU02360209
318193,M000297,None,1233.0,,WK023603
318199,1014800_1,None,69.0,,WK023603
318200,1014850_2,None,31.0,,WK023603
318293,M000297,None,265.0,,BU02360300
318299,1014800_1,None,64.0,,BU02360300
318300,1014850_2,None,36.0,,BU02360300
318394,M000297,None,735.0,,BU02360301
318400,1014800_1,None,67.0,,BU02360301
318401,1014850_2,None,32.0,,BU02360301
318490,M000297,None,133.0,,BU02360308
318496,1014800_1,None,76.0,,BU02360308
318497,1014850_2,None,21.0,,BU02360308
318586,M000297,None,100.0,,BU02360309
318592,1014800_1,None,79.0,,BU02360309
318593,1014850_2,None,19.0,,BU02360309
318681,M000297,None,8160.0,,GM0241
318687,1014800_1,None,55.0,,GM0241
318688,1014850_2,None,43.0,,GM0241
318784,M000297,None,6650.0,,WK024100
318790,1014800_1,None,53.0,,WK024100
318791,1014850_2,None,45.0,,WK024100
318888,M000297,None,616.0,,BU02410000
318894,1014800_1,None,44.0,,BU02410000
318895,1014850_2,None,55.0,,BU02410000
318992,M000297,None,1124.0,,BU02410001
318998,1014800_1,None,43.0,,BU02410001
318999,1014850_2,None,57.0,,BU02410001
319097,M000297,None,983.0,,BU02410002
319103,1014800_1,None,44.0,,BU02410002
319104,1014850_2,None,52.0,,BU02410002
319201,M000297,None,1405.0,,BU02410003
319207,1014800_1,None,53.0,,BU02410003
319208,1014850_2,None,46.0,,BU02410003
319305,M000297,None,777.0,,BU02410004
319311,1014800_1,None,66.0,,BU02410004
319312,1014850_2,None,33.0,,BU02410004
319404,M000297,None,290.0,,BU02410005
319410,1014800_1,None,76.0,,BU02410005
319411,1014850_2,None,23.0,,BU02410005
319505,M000297,None,719.0,,BU02410006
319511,1014800_1,None,58.0,,BU02410006
319512,1014850_2,None,41.0,,BU02410006
319592,M000297,None,15.0,,BU02410007
319653,M000297,None,368.0,,BU02410008
319659,1014800_1,None,74.0,,BU02410008
319660,1014850_2,None,24.0,,BU02410008
319747,M000297,None,39.0,,BU02410009
319752,1014800_1,None,77.0,,BU02410009
319753,1014850_2,None,23.0,,BU02410009
319829,M000297,None,127.0,,BU02410010
319835,1014800_1,None,24.0,,BU02410010
319836,1014850_2,None,76.0,,BU02410010
319928,M000297,None,93.0,,BU02410011
320001,M000297,None,94.0,,BU02410012
320007,1014800_1,None,88.0,,BU02410012
320008,1014850_2,None,11.0,,BU02410012
320100,M000297,None,1510.0,,WK024101
320106,1014800_1,None,66.0,,WK024101
320107,1014850_2,None,33.0,,WK024101
320202,M000297,None,914.0,,BU02410100
320208,1014800_1,None,59.0,,BU02410100
320209,1014850_2,None,41.0,,BU02410100
320301,M000297,None,288.0,,BU02410101
320307,1014800_1,None,72.0,,BU02410101
320308,1014850_2,None,28.0,,BU02410101
320396,M000297,None,160.0,,BU02410108
320402,1014800_1,None,83.0,,BU02410108
320403,1014850_2,None,14.0,,BU02410108
320487,M000297,None,148.0,,BU02410109
320493,1014800_1,None,78.0,,BU02410109
320494,1014850_2,None,18.0,,BU02410109
320584,M000297,None,18517.0,,GM0243
320590,1014800_1,None,56.0,,GM0243
320591,1014850_2,None,43.0,,GM0243
320687,M000297,None,1296.0,,WK024301
320693,1014800_1,None,43.0,,WK024301
320694,1014850_2,None,55.0,,WK024301
320791,M000297,None,753.0,,BU02430101
320797,1014800_1,None,49.0,,BU02430101
320798,1014850_2,None,50.0,,BU02430101
320895,M000297,None,543.0,,BU02430102
320901,1014800_1,None,35.0,,BU02430102
320902,1014850_2,None,61.0,,BU02430102
320979,M000297,None,11.0,,WK024302
321018,M000297,None,0.0,,BU02430201
321046,M000297,None,4.0,,BU02430202
321080,M000297,None,7.0,,BU02430203
321121,M000297,None,0.0,,BU02430204
321167,M000297,None,970.0,,WK024303
321173,1014800_1,None,48.0,,WK024303
321174,1014850_2,None,52.0,,WK024303
321269,M000297,None,568.0,,BU02430301
321275,1014800_1,None,46.0,,BU02430301
321276,1014850_2,None,54.0,,BU02430301
321372,M000297,None,402.0,,BU02430302
321378,1014800_1,None,52.0,,BU02430302
321379,1014850_2,None,48.0,,BU02430302
321476,M000297,None,635.0,,WK024304
321482,1014800_1,None,58.0,,WK024304
321483,1014850_2,None,40.0,,WK024304
321578,M000297,None,423.0,,BU02430401
321584,1014800_1,None,56.0,,BU02430401
321585,1014850_2,None,42.0,,BU02430401
321682,M000297,None,212.0,,BU02430402
321688,1014800_1,None,63.0,,BU02430402
321689,1014850_2,None,37.0,,BU02430402
321783,M000297,None,2536.0,,WK024305
321789,1014800_1,None,44.0,,WK024305
321790,1014850_2,None,56.0,,WK024305
321887,M000297,None,800.0,,BU02430501
321893,1014800_1,None,54.0,,BU02430501
321894,1014850_2,None,46.0,,BU02430501
321991,M000297,None,935.0,,BU02430502
321997,1014800_1,None,37.0,,BU02430502
321998,1014850_2,None,63.0,,BU02430502
322094,M000297,None,343.0,,BU02430503
322100,1014800_1,None,42.0,,BU02430503
322101,1014850_2,None,58.0,,BU02430503
322198,M000297,None,458.0,,BU02430504
322204,1014800_1,None,44.0,,BU02430504
322205,1014850_2,None,56.0,,BU02430504
322297,M000297,None,258.0,,WK024306
322303,1014800_1,None,72.0,,WK024306
322304,1014850_2,None,22.0,,WK024306
322391,M000297,None,78.0,,BU02430601
322397,1014800_1,None,67.0,,BU02430601
322398,1014850_2,None,13.0,,BU02430601
322481,M000297,None,180.0,,BU02430602
322487,1014800_1,None,74.0,,BU02430602
322488,1014850_2,None,26.0,,BU02430602
322577,M000297,None,130.0,,WK024307
322583,1014800_1,None,28.0,,WK024307
322584,1014850_2,None,72.0,,WK024307
322670,M000297,None,45.0,,BU02430701
322675,1014800_1,None,20.0,,BU02430701
322676,1014850_2,None,80.0,,BU02430701
322739,M000297,None,85.0,,BU02430702
322745,1014800_1,None,32.0,,BU02430702
322746,1014850_2,None,68.0,,BU02430702
322836,M000297,None,3404.0,,WK024308
322842,1014800_1,None,49.0,,WK024308
322843,1014850_2,None,48.0,,WK024308
322940,M000297,None,552.0,,BU02430801
322946,1014800_1,None,36.0,,BU02430801
322947,1014850_2,None,46.0,,BU02430801
323041,M000297,None,249.0,,BU02430802
323047,1014800_1,None,19.0,,BU02430802
323048,1014850_2,None,81.0,,BU02430802
323138,M000297,None,387.0,,BU02430803
323144,1014800_1,None,53.0,,BU02430803
323145,1014850_2,None,47.0,,BU02430803
323240,M000297,None,489.0,,BU02430804
323246,1014800_1,None,65.0,,BU02430804
323247,1014850_2,None,34.0,,BU02430804
323342,M000297,None,457.0,,BU02430805
323348,1014800_1,None,77.0,,BU02430805
323349,1014850_2,None,23.0,,BU02430805
323445,M000297,None,554.0,,BU02430806
323451,1014800_1,None,60.0,,BU02430806
323452,1014850_2,None,40.0,,BU02430806
323547,M000297,None,295.0,,BU02430807
323553,1014800_1,None,18.0,,BU02430807
323554,1014850_2,None,82.0,,BU02430807
323638,M000297,None,421.0,,BU02430808
323644,1014800_1,None,39.0,,BU02430808
323645,1014850_2,None,61.0,,BU02430808
323734,M000297,None,551.0,,WK024309
323740,1014800_1,None,74.0,,WK024309
323741,1014850_2,None,26.0,,WK024309
323836,M000297,None,337.0,,BU02430901
323842,1014800_1,None,74.0,,BU02430901
323843,1014850_2,None,26.0,,BU02430901
323937,M000297,None,214.0,,BU02430902
323943,1014800_1,None,73.0,,BU02430902
323944,1014850_2,None,27.0,,BU02430902
324038,M000297,None,2679.0,,WK024310
324044,1014800_1,None,50.0,,WK024310
324045,1014850_2,None,50.0,,WK024310
324142,M000297,None,503.0,,BU02431001
324148,1014800_1,None,88.0,,BU02431001
324149,1014850_2,None,12.0,,BU02431001
324245,M000297,None,242.0,,BU02431002
324251,1014800_1,None,36.0,,BU02431002
324252,1014850_2,None,64.0,,BU02431002
324342,M000297,None,74.0,,BU02431003
324348,1014800_1,None,45.0,,BU02431003
324349,1014850_2,None,53.0,,BU02431003
324427,M000297,None,530.0,,BU02431004
324433,1014800_1,None,21.0,,BU02431004
324434,1014850_2,None,79.0,,BU02431004
324531,M000297,None,775.0,,BU02431005
324537,1014800_1,None,66.0,,BU02431005
324538,1014850_2,None,34.0,,BU02431005
324633,M000297,None,555.0,,BU02431006
324639,1014800_1,None,29.0,,BU02431006
324640,1014850_2,None,71.0,,BU02431006
324736,M000297,None,1576.0,,WK024311
324742,1014800_1,None,70.0,,WK024311
324743,1014850_2,None,30.0,,WK024311
324838,M000297,None,474.0,,BU02431101
324844,1014800_1,None,73.0,,BU02431101
324845,1014850_2,None,27.0,,BU02431101
324942,M000297,None,469.0,,BU02431102
324948,1014800_1,None,71.0,,BU02431102
324949,1014850_2,None,29.0,,BU02431102
325046,M000297,None,624.0,,BU02431103
325052,1014800_1,None,67.0,,BU02431103
325053,1014850_2,None,33.0,,BU02431103
325134,M000297,None,9.0,,BU02431104
325202,M000297,None,3446.0,,WK024312
325208,1014800_1,None,71.0,,WK024312
325209,1014850_2,None,29.0,,WK024312
325306,M000297,None,519.0,,BU02431201
325312,1014800_1,None,69.0,,BU02431201
325313,1014850_2,None,31.0,,BU02431201
325410,M000297,None,239.0,,BU02431202
325416,1014800_1,None,79.0,,BU02431202
325417,1014850_2,None,21.0,,BU02431202
325513,M000297,None,400.0,,BU02431203
325519,1014800_1,None,96.0,,BU02431203
325520,1014850_2,None,4.0,,BU02431203
325616,M000297,None,454.0,,BU02431204
325622,1014800_1,None,61.0,,BU02431204
325623,1014850_2,None,39.0,,BU02431204
325719,M000297,None,609.0,,BU02431205
325725,1014800_1,None,64.0,,BU02431205
325726,1014850_2,None,34.0,,BU02431205
325821,M000297,None,425.0,,BU02431206
325827,1014800_1,None,66.0,,BU02431206
325828,1014850_2,None,33.0,,BU02431206
325925,M000297,None,755.0,,BU02431207
325931,1014800_1,None,69.0,,BU02431207
325932,1014850_2,None,31.0,,BU02431207
326008,M000297,None,0.0,,BU02431208
326035,M000297,None,0.0,,BU02431209
326076,M000297,None,27.0,,BU02431210
326081,1014800_1,None,70.0,,BU02431210
326082,1014850_2,None,30.0,,BU02431210
326128,M000297,None,0.0,,BU02431211
326172,M000297,None,18.0,,BU02431212
326228,M000297,None,16.0,,WK024313
326273,M000297,None,15.0,,BU02431301
326315,M000297,None,1.0,,BU02431302
326356,M000297,None,0.0,,BU02431303
326405,M000297,None,73.0,,WK024314
326411,1014800_1,None,71.0,,WK024314
326412,1014850_2,None,29.0,,WK024314
326493,M000297,None,5.0,,BU02431401
326562,M000297,None,40.0,,BU02431402
326568,1014800_1,None,78.0,,BU02431402
326569,1014850_2,None,23.0,,BU02431402
326643,M000297,None,28.0,,BU02431403
326648,1014800_1,None,64.0,,BU02431403
326649,1014850_2,None,36.0,,BU02431403
326727,M000297,None,936.0,,WK024315
326733,1014800_1,None,70.0,,WK024315
326734,1014850_2,None,29.0,,WK024315
326829,M000297,None,477.0,,BU02431501
326835,1014800_1,None,65.0,,BU02431501
326836,1014850_2,None,35.0,,BU02431501
326927,M000297,None,69.0,,BU02431502
326933,1014800_1,None,67.0,,BU02431502
326934,1014850_2,None,30.0,,BU02431502
327008,M000297,None,40.0,,BU02431503
327013,1014800_1,None,78.0,,BU02431503
327014,1014850_2,None,20.0,,BU02431503
327083,M000297,None,149.0,,BU02431504
327089,1014800_1,None,70.0,,BU02431504
327090,1014850_2,None,29.0,,BU02431504
327174,M000297,None,71.0,,BU02431505
327180,1014800_1,None,77.0,,BU02431505
327181,1014850_2,None,23.0,,BU02431505
327265,M000297,None,130.0,,BU02431506
327271,1014800_1,None,82.0,,BU02431506
327272,1014850_2,None,17.0,,BU02431506
327341,M000297,None,0.0,,WK024316
327366,M000297,None,0.0,,BU02431601
327412,M000297,None,5128.0,,GM0244
327418,1014800_1,None,60.0,,GM0244
327419,1014850_2,None,37.0,,GM0244
327515,M000297,None,4840.0,,WK024400
327521,1014800_1,None,59.0,,WK024400
327522,1014850_2,None,38.0,,WK024400
327613,M000297,None,376.0,,BU02440000
327619,1014800_1,None,47.0,,BU02440000
327620,1014850_2,None,51.0,,BU02440000
327716,M000297,None,1470.0,,BU02440001
327722,1014800_1,None,48.0,,BU02440001
327723,1014850_2,None,44.0,,BU02440001
327820,M000297,None,648.0,,BU02440002
327826,1014800_1,None,71.0,,BU02440002
327827,1014850_2,None,29.0,,BU02440002
327922,M000297,None,777.0,,BU02440003
327928,1014800_1,None,67.0,,BU02440003
327929,1014850_2,None,33.0,,BU02440003
328026,M000297,None,332.0,,BU02440004
328032,1014800_1,None,88.0,,BU02440004
328033,1014850_2,None,12.0,,BU02440004
328123,M000297,None,1110.0,,BU02440005
328129,1014800_1,None,62.0,,BU02440005
328130,1014850_2,None,38.0,,BU02440005
328211,M000297,None,104.0,,BU02440008
328216,1014800_1,None,11.0,,BU02440008
328217,1014850_2,None,88.0,,BU02440008
328280,M000297,None,23.0,,BU02440009
328285,1014800_1,None,87.0,,BU02440009
328286,1014850_2,None,13.0,,BU02440009
328341,M000297,None,288.0,,WK024401
328347,1014800_1,None,82.0,,WK024401
328348,1014850_2,None,17.0,,WK024401
328430,M000297,None,161.0,,BU02440108
328436,1014800_1,None,83.0,,BU02440108
328437,1014850_2,None,17.0,,BU02440108
328521,M000297,None,127.0,,BU02440109
328527,1014800_1,None,81.0,,BU02440109
328528,1014850_2,None,18.0,,BU02440109
328618,M000297,None,7580.0,,GM0246
328624,1014800_1,None,65.0,,GM0246
328625,1014850_2,None,33.0,,GM0246
328721,M000297,None,5196.0,,WK024600
328727,1014800_1,None,66.0,,WK024600
328728,1014850_2,None,32.0,,WK024600
328825,M000297,None,3759.0,,BU02460000
328831,1014800_1,None,62.0,,BU02460000
328832,1014850_2,None,37.0,,BU02460000
328925,M000297,None,194.0,,BU02460001
328931,1014800_1,None,71.0,,BU02460001
328932,1014850_2,None,28.0,,BU02460001
329023,M000297,None,25.0,,BU02460002
329028,1014800_1,None,84.0,,BU02460002
329029,1014850_2,None,16.0,,BU02460002
329088,M000297,None,81.0,,BU02460003
329094,1014800_1,None,86.0,,BU02460003
329095,1014850_2,None,11.0,,BU02460003
329168,M000297,None,80.0,,BU02460004
329174,1014800_1,None,88.0,,BU02460004
329175,1014850_2,None,13.0,,BU02460004
329262,M000297,None,484.0,,BU02460005
329268,1014800_1,None,81.0,,BU02460005
329269,1014850_2,None,16.0,,BU02460005
329355,M000297,None,384.0,,BU02460006
329361,1014800_1,None,78.0,,BU02460006
329362,1014850_2,None,19.0,,BU02460006
329451,M000297,None,52.0,,BU02460007
329456,1014800_1,None,79.0,,BU02460007
329457,1014850_2,None,21.0,,BU02460007
329530,M000297,None,128.0,,BU02460008
329536,1014800_1,None,77.0,,BU02460008
329537,1014850_2,None,23.0,,BU02460008
329611,M000297,None,9.0,,BU02460009
329666,M000297,None,2384.0,,WK024601
329672,1014800_1,None,63.0,,WK024601
329673,1014850_2,None,36.0,,WK024601
329770,M000297,None,1626.0,,BU02460100
329776,1014800_1,None,54.0,,BU02460100
329777,1014850_2,None,46.0,,BU02460100
329869,M000297,None,221.0,,BU02460106
329875,1014800_1,None,86.0,,BU02460106
329876,1014850_2,None,14.0,,BU02460106
329961,M000297,None,442.0,,BU02460107
329967,1014800_1,None,84.0,,BU02460107
329968,1014850_2,None,15.0,,BU02460107
330055,M000297,None,68.0,,BU02460108
330061,1014800_1,None,81.0,,BU02460108
330062,1014850_2,None,16.0,,BU02460108
330130,M000297,None,27.0,,BU02460109
330135,1014800_1,None,78.0,,BU02460109
