Id,Measure,ValueAttribute,Value,StringValue,WijkenEnBuurten
32,M000297,None,7641323.0,,NL00
33,M001642,None,209.0,,NL00
38,1014800_1,None,56.0,,NL00
39,1014850_2,None,42.0,,NL00
135,M000297,None,11131.0,,GM1680
136,M001642,None,218.0,,GM1680
141,1014800_1,None,71.0,,GM1680
142,1014850_2,None,27.0,,GM1680
241,M000297,None,1595.0,,WK168000
242,M001642,None,219.0,,WK168000
247,1014800_1,None,71.0,,WK168000
248,1014850_2,None,25.0,,WK168000
347,M000297,None,1533.0,,BU16800000
348,M001642,None,213.0,,BU16800000
353,1014800_1,None,70.0,,BU16800000
354,1014850_2,None,26.0,,BU16800000
455,M000297,None,62.0,,BU16800009
456,M001642,None,390.0,,BU16800009
461,1014800_1,None,97.0,,BU16800009
462,1014850_2,None,3.0,,BU16800009
549,M000297,None,580.0,,WK168001
550,M001642,None,225.0,,WK168001
555,1014800_1,None,79.0,,WK168001
556,1014850_2,None,20.0,,WK168001
655,M000297,None,533.0,,BU16800100
656,M001642,None,216.0,,BU16800100
661,1014800_1,None,78.0,,BU16800100
662,1014850_2,None,21.0,,BU16800100
763,M000297,None,47.0,,BU16800109
764,M001642,None,323.0,,BU16800109
769,1014800_1,None,94.0,,BU16800109
770,1014850_2,None,6.0,,BU16800109
857,M000297,None,167.0,,WK168002
858,M001642,None,270.0,,WK168002
863,1014800_1,None,80.0,,WK168002
864,1014850_2,None,20.0,,WK168002
957,M000297,None,143.0,,BU16800200
958,M001642,None,263.0,,BU16800200
963,1014800_1,None,78.0,,BU16800200
964,1014850_2,None,22.0,,BU16800200
1059,M000297,None,24.0,,BU16800209
1064,1014800_1,None,92.0,,BU16800209
1065,1014850_2,None,8.0,,BU16800209
1143,M000297,None,172.0,,WK168003
1144,M001642,None,288.0,,WK168003
1149,1014800_1,None,90.0,,WK168003
1150,1014850_2,None,10.0,,WK168003
1247,M000297,None,167.0,,BU16800300
1248,M001642,None,286.0,,BU16800300
1253,1014800_1,None,90.0,,BU16800300
1254,1014850_2,None,10.0,,BU16800300
1353,M000297,None,5.0,,BU16800309
1408,M000297,None,110.0,,WK168004
1409,M001642,None,290.0,,WK168004
1414,1014800_1,None,81.0,,WK168004
1415,1014850_2,None,18.0,,WK168004
1508,M000297,None,100.0,,BU16800400
1509,M001642,None,290.0,,BU16800400
1514,1014800_1,None,82.0,,BU16800400
1515,1014850_2,None,17.0,,BU16800400
1606,M000297,None,10.0,,BU16800409
1661,M000297,None,242.0,,WK168005
1662,M001642,None,334.0,,WK168005
1667,1014800_1,None,87.0,,WK168005
1668,1014850_2,None,12.0,,WK168005
1761,M000297,None,211.0,,BU16800500
1762,M001642,None,331.0,,BU16800500
1767,1014800_1,None,89.0,,BU16800500
1768,1014850_2,None,10.0,,BU16800500
1863,M000297,None,31.0,,BU16800509
1868,1014800_1,None,71.0,,BU16800509
1869,1014850_2,None,23.0,,BU16800509
1935,M000297,None,180.0,,WK168006
1936,M001642,None,228.0,,WK168006
1941,1014800_1,None,89.0,,WK168006
1942,1014850_2,None,11.0,,WK168006
2035,M000297,None,174.0,,BU16800600
2036,M001642,None,227.0,,BU16800600
2041,1014800_1,None,89.0,,BU16800600
2042,1014850_2,None,11.0,,BU16800600
2137,M000297,None,6.0,,BU16800609
2192,M000297,None,64.0,,WK168007
2193,M001642,None,198.0,,WK168007
2198,1014800_1,None,89.0,,WK168007
2199,1014850_2,None,11.0,,WK168007
2281,M000297,None,64.0,,BU16800700
2282,M001642,None,198.0,,BU16800700
2287,1014800_1,None,89.0,,BU16800700
2288,1014850_2,None,11.0,,BU16800700
2370,M000297,None,0.0,,BU16800709
2418,M000297,None,43.0,,WK168008
2423,1014800_1,None,95.0,,WK168008
2424,1014850_2,None,5.0,,WK168008
2496,M000297,None,40.0,,BU16800800
2501,1014800_1,None,95.0,,BU16800800
2502,1014850_2,None,5.0,,BU16800800
2575,M000297,None,3.0,,BU16800809
2624,M000297,None,48.0,,WK168009
2629,1014800_1,None,94.0,,WK168009
2630,1014850_2,None,6.0,,WK168009
2708,M000297,None,47.0,,BU16800900
2713,1014800_1,None,94.0,,BU16800900
2714,1014850_2,None,6.0,,BU16800900
2788,M000297,None,1.0,,BU16800909
2837,M000297,None,186.0,,WK168011
2838,M001642,None,170.0,,WK168011
2843,1014800_1,None,73.0,,WK168011
2844,1014850_2,None,27.0,,WK168011
2937,M000297,None,186.0,,BU16801100
2938,M001642,None,170.0,,BU16801100
2943,1014800_1,None,73.0,,BU16801100
2944,1014850_2,None,27.0,,BU16801100
3037,M000297,None,0.0,,BU16801109
3089,M000297,None,106.0,,WK168012
3090,M001642,None,155.0,,WK168012
3095,1014800_1,None,84.0,,WK168012
3096,1014850_2,None,16.0,,WK168012
3184,M000297,None,106.0,,BU16801200
3185,M001642,None,155.0,,BU16801200
3190,1014800_1,None,84.0,,BU16801200
3191,1014850_2,None,16.0,,BU16801200
3281,M000297,None,0.0,,BU16801209
3336,M000297,None,60.0,,WK168013
3337,M001642,None,256.0,,WK168013
3342,1014800_1,None,88.0,,WK168013
