Id,Measure,ValueAttribute,Value,StringValue,WijkenEnBuurten
32,M000297,None,8045580.0,,NL00
33,M001642,None,317.0,,NL00
38,1014800_1,None,57.0,,NL00
39,1014850_2,None,43.0,,NL00
147,M000297,None,11336.0,,GM1680
148,M001642,None,298.0,,GM1680
153,1014800_1,None,75.0,,GM1680
154,1014850_2,None,25.0,,GM1680
261,M000297,None,1635.0,,WK168000
262,M001642,None,297.0,,WK168000
267,1014800_1,None,75.0,,WK168000
268,1014850_2,None,25.0,,WK168000
375,M000297,None,1572.0,,BU16800000
376,M001642,None,289.0,,BU16800000
381,1014800_1,None,74.0,,BU16800000
382,1014850_2,None,26.0,,BU16800000
491,M000297,None,63.0,,BU16800009
492,M001642,None,515.0,,BU16800009
497,1014800_1,None,97.0,,BU16800009
498,1014850_2,None,3.0,,BU16800009
582,M000297,None,598.0,,WK168001
583,M001642,None,316.0,,WK168001
588,1014800_1,None,84.0,,WK168001
589,1014850_2,None,16.0,,WK168001
696,M000297,None,547.0,,BU16800100
697,M001642,None,304.0,,BU16800100
702,1014800_1,None,83.0,,BU16800100
703,1014850_2,None,17.0,,BU16800100
812,M000297,None,51.0,,BU16800109
813,M001642,None,441.0,,BU16800109
818,1014800_1,None,94.0,,BU16800109
819,1014850_2,None,6.0,,BU16800109
904,M000297,None,169.0,,WK168002
905,M001642,None,371.0,,WK168002
910,1014800_1,None,80.0,,WK168002
911,1014850_2,None,20.0,,WK168002
1012,M000297,None,145.0,,BU16800200
1013,M001642,None,357.0,,BU16800200
1018,1014800_1,None,80.0,,BU16800200
1019,1014850_2,None,20.0,,BU16800200
1122,M000297,None,24.0,,BU16800209
1123,M001642,None,456.0,,BU16800209
1128,1014800_1,None,83.0,,BU16800209
1129,1014850_2,None,17.0,,BU16800209
1201,M000297,None,180.0,,WK168003
1202,M001642,None,404.0,,WK168003
1207,1014800_1,None,92.0,,WK168003
1208,1014850_2,None,8.0,,WK168003
1315,M000297,None,176.0,,BU16800300
1316,M001642,None,399.0,,BU16800300
1321,1014800_1,None,93.0,,BU16800300
1322,1014850_2,None,7.0,,BU16800300
1428,M000297,None,4.0,,BU16800309
1480,M000297,None,112.0,,WK168004
1481,M001642,None,392.0,,WK168004
1486,1014800_1,None,89.0,,WK168004
1487,1014850_2,None,11.0,,WK168004
1586,M000297,None,102.0,,BU16800400
1587,M001642,None,387.0,,BU16800400
1592,1014800_1,None,91.0,,BU16800400
1593,1014850_2,None,9.0,,BU16800400
1681,M000297,None,10.0,,BU16800409
1733,M000297,None,262.0,,WK168005
1734,M001642,None,449.0,,WK168005
1739,1014800_1,None,85.0,,WK168005
1740,1014850_2,None,15.0,,WK168005
1841,M000297,None,231.0,,BU16800500
1842,M001642,None,451.0,,BU16800500
1847,1014800_1,None,86.0,,BU16800500
