Id,Measure,ValueAttribute,Value,StringValue,WijkenEnBuurten
29,M000297,None,8274478.0,,NL00
31,M001642,None,398.0,,NL00
40,1014850_2,None,42.0,,NL00
93,M000297,None,11555.0,,GM1680
95,M001642,None,371.0,,GM1680
104,1014850_2,None,25.0,,GM1680
157,M000297,None,1666.0,,WK168000
159,M001642,None,380.0,,WK168000
168,1014850_2,None,25.0,,WK168000
221,M000297,None,1601.0,,BU16800000
223,M001642,None,371.0,,BU16800000
232,1014850_2,None,26.0,,BU16800000
287,M000297,None,65.0,,BU16800009
289,M001642,None,603.0,,BU16800009
298,1014850_2,None,8.0,,BU16800009
353,M000297,None,606.0,,WK168001
355,M001642,None,392.0,,WK168001
364,1014850_2,None,16.0,,WK168001
417,M000297,None,551.0,,BU16800100
419,M001642,None,380.0,,BU16800100
428,1014850_2,None,17.0,,BU16800100
483,M000297,None,55.0,,BU16800109
485,M001642,None,506.0,,BU16800109
494,1014850_2,None,9.0,,BU16800109
549,M000297,None,169.0,,WK168002
551,M001642,None,456.0,,WK168002
560,1014850_2,None,17.0,,WK168002
613,M000297,None,145.0,,BU16800200
615,M001642,None,438.0,,BU16800200
624,1014850_2,None,19.0,,BU16800200
679,M000297,None,24.0,,BU16800209
681,M001642,None,564.0,,BU16800209
690,1014850_2,None,8.0,,BU16800209
743,M000297,None,181.0,,WK168003
745,M001642,None,496.0,,WK168003
754,1014850_2,None,7.0,,WK168003
807,M000297,None,176.0,,BU16800300
809,M001642,None,489.0,,BU16800300
818,1014850_2,None,6.0,,BU16800300
873,M000297,None,5.0,,BU16800309
923,M000297,None,112.0,,WK168004
925,M001642,None,498.0,,WK168004
934,1014850_2,None,11.0,,WK168004
987,M000297,None,102.0,,BU16800400
989,M001642,None,492.0,,BU16800400
998,1014850_2,None,9.0,,BU16800400
1053,M000297,None,10.0,,BU16800409
1103,M000297,None,252.0,,WK168005
1105,M001642,None,559.0,,WK168005
1114,1014850_2,None,13.0,,WK168005
1167,M000297,None,230.0,,BU16800500
1169,M001642,None,552.0,,BU16800500
1178,1014850_2,None,13.0,,BU16800500
1233,M000297,None,22.0,,BU16800509
1235,M001642,None,632.0,,BU16800509
1244,1014850_2,None,9.0,,BU16800509
1297,M000297,None,200.0,,WK168006
1299,M001642,None,393.0,,WK168006
1308,1014850_2,None,8.0,,WK168006
1361,M000297,None,192.0,,BU16800600
1363,M001642,None,390.0,,BU16800600
1372,1014850_2,None,8.0,,BU16800600
1427,M000297,None,8.0,,BU16800609
1477,M000297,None,64.0,,WK168007
1479,M001642,None,343.0,,WK168007
1488,1014850_2,None,9.0,,WK168007
1541,M000297,None,64.0,,BU16800700
1543,M001642,None,343.0,,BU16800700
1552,1014850_2,None,9.0,,BU16800700
1605,M000297,None,0.0,,BU16800709
1651,M000297,None,43.0,,WK168008
1653,M001642,None,403.0,,WK168008
1662,1014850_2,None,2.0,,WK168008
1713,M000297,None,40.0,,BU16800800
1715,M001642,None,401.0,,BU16800800
1724,1014850_2,None,3.0,,BU16800800
1777,M000297,None,3.0,,BU16800809
1827,M000297,None,48.0,,WK168009
1829,M001642,None,394.0,,WK168009
1838,1014850_2,None,4.0,,WK168009
1889,M000297,None,47.0,,BU16800900
1891,M001642,None,393.0,,BU16800900
1900,1014850_2,None,4.0,,BU16800900
1952,M000297,None,1.0,,BU16800909
2002,M000297,None,188.0,,WK168011
2004,M001642,None,295.0,,WK168011
2013,1014850_2,None,24.0,,WK168011
2066,M000297,None,187.0,,BU16801100
2068,M001642,None,295.0,,BU16801100
2077,1014850_2,None,24.0,,BU16801100
2131,M000297,None,1.0,,BU16801109
2181,M000297,None,107.0,,WK168012
2183,M001642,None,265.0,,WK168012
2192,1014850_2,None,11.0,,WK168012
2245,M000297,None,107.0,,BU16801200
2247,M001642,None,265.0,,BU16801200
2256,1014850_2,None,11.0,,BU16801200
2310,M000297,None,0.0,,BU16801209
2360,M000297,None,60.0,,WK168013
2362,M001642,None,412.0,,WK168013
2371,1014850_2,None,8.0,,WK168013
2424,M000297,None,46.0,,BU16801300
2426,M001642,None,396.0,,BU16801300
2435,1014850_2,None,9.0,,BU16801300
2488,M000297,None,14.0,,BU16801309
2538,M000297,None,789.0,,WK168014
2540,M001642,None,366.0,,WK168014
2549,1014850_2,None,25.0,,WK168014
2602,M000297,None,695.0,,BU16801400
2604,M001642,None,351.0,,BU16801400
2613,1014850_2,None,27.0,,BU16801400
2668,M000297,None,58.0,,BU16801401
2670,M001642,None,484.0,,BU16801401
2679,1014850_2,None,5.0,,BU16801401
2734,M000297,None,36.0,,BU16801409
2736,M001642,None,460.0,,BU16801409
2745,1014850_2,None,31.0,,BU16801409
2800,M000297,None,845.0,,WK168015
2802,M001642,None,268.0,,WK168015
2811,1014850_2,None,38.0,,WK168015
2864,M000297,None,828.0,,BU16801500
2866,M001642,None,266.0,,BU16801500
2875,1014850_2,None,38.0,,BU16801500
2930,M000297,None,17.0,,BU16801501
2978,M000297,None,0.0,,BU16801509
3024,M000297,None,296.0,,WK168016
3026,M001642,None,310.0,,WK168016
3035,1014850_2,None,17.0,,WK168016
3088,M000297,None,282.0,,BU16801600
3090,M001642,None,299.0,,BU16801600
3099,1014850_2,None,17.0,,BU16801600
3154,M000297,None,12.0,,BU16801601
3203,M000297,None,2.0,,BU16801609
