Id,Measure,ValueAttribute,Value,StringValue,WijkenEnBuurten
32,M000297,None,7891786.0,,NL00
33,M001642,None,271.0,,NL00
38,1014800_1,None,57.0,,NL00
39,1014850_2,None,43.0,,NL00
146,M000297,None,11179.0,,GM1680
147,M001642,None,257.0,,GM1680
152,1014800_1,None,75.0,,GM1680
153,1014850_2,None,25.0,,GM1680
260,M000297,None,1627.0,,WK168000
261,M001642,None,254.0,,WK168000
266,1014800_1,None,74.0,,WK168000
267,1014850_2,None,26.0,,WK168000
374,M000297,None,1564.0,,BU16800000
375,M001642,None,245.0,,BU16800000
380,1014800_1,None,73.0,,BU16800000
381,1014850_2,None,27.0,,BU16800000
490,M000297,None,63.0,,BU16800009
491,M001642,None,470.0,,BU16800009
496,1014800_1,None,97.0,,BU16800009
497,1014850_2,None,3.0,,BU16800009
581,M000297,None,584.0,,WK168001
582,M001642,None,271.0,,WK168001
587,1014800_1,None,84.0,,WK168001
588,1014850_2,None,16.0,,WK168001
695,M000297,None,534.0,,BU16800100
696,M001642,None,259.0,,BU16800100
701,1014800_1,None,83.0,,BU16800100
702,1014850_2,None,17.0,,BU16800100
811,M000297,None,50.0,,BU16800109
812,M001642,None,398.0,,BU16800109
817,1014800_1,None,94.0,,BU16800109
818,1014850_2,None,6.0,,BU16800109
903,M000297,None,169.0,,WK168002
904,M001642,None,318.0,,WK168002
909,1014800_1,None,82.0,,WK168002
910,1014850_2,None,18.0,,WK168002
1009,M000297,None,145.0,,BU16800200
1010,M001642,None,305.0,,BU16800200
1015,1014800_1,None,81.0,,BU16800200
1016,1014850_2,None,19.0,,BU16800200
1117,M000297,None,24.0,,BU16800209
1118,M001642,None,396.0,,BU16800209
1123,1014800_1,None,88.0,,BU16800209
1124,1014850_2,None,12.0,,BU16800209
1199,M000297,None,173.0,,WK168003
1200,M001642,None,352.0,,WK168003
1205,1014800_1,None,94.0,,WK168003
1206,1014850_2,None,6.0,,WK168003
1313,M000297,None,168.0,,BU16800300
1314,M001642,None,346.0,,BU16800300
1319,1014800_1,None,93.0,,BU16800300
1320,1014850_2,None,7.0,,BU16800300
1426,M000297,None,5.0,,BU16800309
1482,M000297,None,110.0,,WK168004
1483,M001642,None,351.0,,WK168004
1488,1014800_1,None,85.0,,WK168004
1489,1014850_2,None,15.0,,WK168004
1586,M000297,None,100.0,,BU16800400
1587,M001642,None,341.0,,BU16800400
1592,1014800_1,None,86.0,,BU16800400
1593,1014850_2,None,14.0,,BU16800400
1681,M000297,None,10.0,,BU16800409
1739,M000297,None,243.0,,WK168005
1740,M001642,None,395.0,,WK168005
1745,1014800_1,None,91.0,,WK168005
1746,1014850_2,None,9.0,,WK168005
1845,M000297,None,212.0,,BU16800500
1846,M001642,None,403.0,,BU16800500
1851,1014800_1,None,93.0,,BU16800500
1852,1014850_2,None,7.0,,BU16800500
1953,M000297,None,31.0,,BU16800509
1954,M001642,None,339.0,,BU16800509
1959,1014800_1,None,77.0,,BU16800509
1960,1014850_2,None,23.0,,BU16800509
2032,M000297,None,186.0,,WK168006
2033,M001642,None,263.0,,WK168006
2038,1014800_1,None,88.0,,WK168006
2039,1014850_2,None,12.0,,WK168006
2140,M000297,None,180.0,,BU16800600
2141,M001642,None,261.0,,BU16800600
2146,1014800_1,None,88.0,,BU16800600
2147,1014850_2,None,12.0,,BU16800600
2247,M000297,None,6.0,,BU16800609
2305,M000297,None,64.0,,WK168007
2306,M001642,None,240.0,,WK168007
2311,1014800_1,None,92.0,,WK168007
2312,1014850_2,None,8.0,,WK168007
2390,M000297,None,64.0,,BU16800700
2391,M001642,None,240.0,,BU16800700
2396,1014800_1,None,92.0,,BU16800700
2397,1014850_2,None,8.0,,BU16800700
2475,M000297,None,0.0,,BU16800709
2518,M000297,None,43.0,,WK168008
2519,M001642,None,291.0,,WK168008
2524,1014800_1,None,98.0,,WK168008
