Id,Measure,ValueAttribute,Value,StringValue,WijkenEnBuurten
32,M000297,None,7535315.0,,NL00
39,1014850_2,None,43.0,,NL00
135,M000297,None,5840.0,,GM0003
142,1014850_2,None,52.0,,GM0003
238,M000297,None,5840.0,,WK000300
245,1014850_2,None,52.0,,WK000300
342,M000297,None,1464.0,,BU00030000
349,1014850_2,None,60.0,,BU00030000
448,M000297,None,1329.0,,BU00030001
455,1014850_2,None,33.0,,BU00030001
554,M000297,None,2818.0,,BU00030002
561,1014850_2,None,59.0,,BU00030002
655,M000297,None,122.0,,BU00030007
662,1014850_2,None,4.0,,BU00030007
748,M000297,None,42.0,,BU00030008
754,1014850_2,None,7.0,,BU00030008
828,M000297,None,65.0,,BU00030009
834,1014850_2,None,23.0,,BU00030009
923,M000297,None,4500.0,,GM0005
930,1014850_2,None,32.0,,GM0005
1026,M000297,None,4500.0,,WK000500
1033,1014850_2,None,32.0,,WK000500
1130,M000297,None,3446.0,,BU00050000
1137,1014850_2,None,35.0,,BU00050000
1236,M000297,None,232.0,,BU00050001
1243,1014850_2,None,18.0,,BU00050001
1340,M000297,None,387.0,,BU00050002
1347,1014850_2,None,26.0,,BU00050002
1439,M000297,None,49.0,,BU00050003
1445,1014850_2,None,18.0,,BU00050003
1521,M000297,None,242.0,,BU00050004
1528,1014850_2,None,24.0,,BU00050004
1620,M000297,None,40.0,,BU00050005
1626,1014850_2,None,15.0,,BU00050005
1692,M000297,None,58.0,,BU00050006
1699,1014850_2,None,10.0,,BU00050006
1773,M000297,None,46.0,,BU00050007
1779,1014850_2,None,7.0,,BU00050007
1851,M000297,None,4136.0,,GM0007
1858,1014850_2,None,27.0,,GM0007
1954,M000297,None,1895.0,,WK000700
1961,1014850_2,None,27.0,,WK000700
2058,M000297,None,1018.0,,BU00070000
2065,1014850_2,None,32.0,,BU00070000
2159,M000297,None,142.0,,BU00070001
2166,1014850_2,None,15.0,,BU00070001
2250,M000297,None,210.0,,BU00070002
2257,1014850_2,None,30.0,,BU00070002
